"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;83;1;0;0;0;0;0;27;32;1;5;9;8;73
"Site_f01_s02";"F01";1;100;82;0;0;51;0;4;0;21;0;0;9;15;0;52
"Site_f01_s03";"F01";1;100;80;26;0;51;0;0;16;30;0;0;0;0;0;57
"Site_f01_s04";"F01";1;100;77;36;0;53;0;4;0;12;0;1;0;0;9;64
"Site_f01_s05";"F01";1;100;78;10;0;0;0;10;0;39;0;0;0;5;0;68
"Site_f01_s06";"F01";1;100;85;0;0;49;0;0;11;25;36;0;0;5;0;51
"Site_f01_s07";"F01";1;100;96;7;0;68;67;8;0;41;0;0;1;13;0;63
"Site_f01_s08";"F01";1;100;87;0;0;39;0;10;0;0;27;6;1;13;25;68
"Site_f01_s09";"F01";1;100;89;0;0;73;0;6;0;34;0;2;3;5;0;72
"Site_f01_s10";"F01";1;100;96;0;0;55;0;8;0;19;53;1;6;22;0;84
"Site_f02_s01";"F02";2;100;95;0;0;69;0;13;0;52;0;0;0;12;0;63
"Site_f02_s02";"F02";2;100;90;0;0;0;0;16;0;48;0;11;0;0;0;82
"Site_f02_s03";"F02";2;100;75;0;0;38;0;17;24;20;10;0;1;7;0;51
"Site_f02_s04";"F02";2;100;78;6;48;0;0;5;0;17;28;0;0;3;0;35
"Site_f02_s05";"F02";2;100;91;0;0;0;63;3;0;35;8;1;0;15;0;72
"Site_f02_s06";"F02";2;100;87;23;0;55;0;5;0;17;52;3;0;6;0;28
"Site_f02_s07";"F02";2;100;92;0;0;65;47;11;0;9;40;0;9;12;11;46
"Site_f02_s08";"F02";2;100;85;19;0;0;0;10;13;20;28;0;0;7;0;70
"Site_f02_s09";"F02";2;100;85;12;0;45;0;8;34;37;18;1;0;7;0;59
"Site_f02_s10";"F02";2;100;73;13;0;0;0;5;0;15;35;2;0;13;7;46
