"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;86;4;0;0;1;15;14;82;73;0;0;11;0;395
"Site_f01_s02";"F01";1;100;90;61;0;108;0;7;51;1;244;0;5;5;0;188
"Site_f01_s03";"F01";1;100;73;13;0;1;2;9;26;46;1;3;0;13;10;97
"Site_f01_s04";"F01";1;100;96;10;0;358;0;13;57;98;42;2;3;3;1;149
"Site_f01_s05";"F01";1;100;98;4;0;473;338;14;9;60;69;1;2;25;2;378
"Site_f01_s06";"F01";1;100;88;1;0;2;0;15;1;88;143;0;0;15;0;184
"Site_f01_s07";"F01";1;100;95;34;0;196;0;1;18;84;85;1;0;8;1;221
"Site_f01_s08";"F01";1;100;82;13;0;128;0;2;1;19;17;0;0;23;0;102
"Site_f01_s09";"F01";1;100;83;3;0;0;0;2;19;33;1;0;4;22;9;178
"Site_f01_s10";"F01";1;100;88;17;0;107;0;5;28;87;2;5;0;24;0;241
"Site_f02_s01";"F02";2;100;93;3;1;78;292;2;1;51;33;1;2;15;0;184
"Site_f02_s02";"F02";2;100;90;1;1;197;0;2;0;27;1;0;7;11;0;132
"Site_f02_s03";"F02";2;100;93;24;44;173;0;7;18;104;68;1;0;12;2;298
"Site_f02_s04";"F02";2;100;86;0;1;83;0;10;0;41;1;3;2;13;0;296
"Site_f02_s05";"F02";2;100;80;40;33;145;0;1;0;30;22;3;1;13;11;132
"Site_f02_s06";"F02";2;100;86;37;46;3;0;17;2;66;1;0;0;1;5;147
"Site_f02_s07";"F02";2;100;88;13;2;1;0;30;20;54;85;3;2;20;2;371
"Site_f02_s08";"F02";2;100;90;15;1;185;0;1;1;40;39;5;1;0;2;58
"Site_f02_s09";"F02";2;100;88;4;24;153;0;7;1;28;48;3;1;24;13;78
"Site_f02_s10";"F02";2;100;95;0;37;162;0;9;28;0;1;1;5;15;1;205
"Site_f03_s01";"F03";3;100;75;0;1;0;0;15;42;29;2;0;0;7;0;145
"Site_f03_s02";"F03";3;100;82;0;66;73;0;0;3;41;2;5;3;15;13;169
"Site_f03_s03";"F03";3;100;89;0;0;108;0;49;80;36;77;4;0;10;10;172
"Site_f03_s04";"F03";3;100;74;0;67;0;0;0;0;32;23;5;1;15;1;136
"Site_f03_s05";"F03";3;100;74;34;1;34;0;4;17;41;18;4;6;9;0;93
"Site_f03_s06";"F03";3;100;77;0;0;3;0;14;0;17;7;0;1;8;0;297
"Site_f03_s07";"F03";3;100;87;1;44;47;0;9;1;22;12;4;1;8;5;193
"Site_f03_s08";"F03";3;100;74;0;0;0;0;16;1;41;19;1;0;4;4;168
