"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;100;2;0;470;0;1;0;110;164;0;1;0;0;315
"Site_f01_s02";"F01";1;100;78;26;0;0;0;4;0;70;49;0;0;18;0;129
"Site_f01_s03";"F01";1;100;84;37;20;107;0;3;0;52;1;0;0;14;1;48
"Site_f01_s04";"F01";1;100;98;9;52;417;0;9;0;38;49;2;0;18;7;820
"Site_f01_s05";"F01";1;100;92;41;0;106;0;0;65;12;0;1;0;2;28;199
"Site_f01_s06";"F01";1;100;92;15;0;308;0;12;0;84;44;0;11;9;8;108
"Site_f01_s07";"F01";1;100;89;0;1;168;0;11;16;53;2;3;7;1;0;278
"Site_f01_s08";"F01";1;100;88;21;0;256;83;9;0;29;94;3;0;20;0;88
"Site_f01_s09";"F01";1;100;87;34;0;194;0;0;0;65;0;0;0;16;10;138
"Site_f01_s10";"F01";1;100;72;19;0;1;0;5;0;32;0;0;0;10;0;205
"Site_f02_s01";"F02";2;100;83;42;139;1;0;13;10;36;0;3;0;3;0;198
"Site_f02_s02";"F02";2;100;88;0;0;125;0;0;7;25;29;1;9;25;0;240
"Site_f02_s03";"F02";2;100;92;0;0;348;0;4;17;74;28;3;0;0;4;40
"Site_f02_s04";"F02";2;100;77;14;0;89;0;0;0;23;0;0;0;7;0;132
"Site_f02_s05";"F02";2;100;82;1;0;65;0;4;10;69;0;3;0;7;4;119
"Site_f02_s06";"F02";2;100;78;9;75;0;0;0;12;22;50;0;0;12;0;148
"Site_f02_s07";"F02";2;100;76;42;0;0;0;3;0;89;30;0;0;2;0;102
"Site_f02_s08";"F02";2;100;71;5;0;0;0;5;0;34;31;0;0;2;0;115
"Site_f02_s09";"F02";2;100;84;38;0;0;0;6;10;46;0;1;0;0;1;326
"Site_f02_s10";"F02";2;100;94;0;0;178;119;2;4;33;0;0;0;0;0;201
"Site_f03_s01";"F03";3;100;90;0;0;223;0;7;29;72;1;4;0;1;0;120
"Site_f03_s02";"F03";3;100;78;0;0;48;71;12;0;24;0;5;0;8;3;118
"Site_f03_s03";"F03";3;100;91;0;53;1;78;4;18;24;66;0;8;2;9;154
"Site_f03_s04";"F03";3;100;82;27;0;79;0;7;0;0;7;0;0;5;0;266
"Site_f03_s05";"F03";3;100;88;0;0;99;89;0;12;0;44;0;1;0;0;203
"Site_f03_s06";"F03";3;100;89;10;0;93;108;9;0;28;78;7;3;6;0;184
"Site_f03_s07";"F03";3;100;94;24;0;129;49;1;12;33;93;0;0;7;0;330
"Site_f03_s08";"F03";3;100;91;0;0;103;0;19;61;83;59;1;4;1;0;114
"Site_f03_s09";"F03";3;100;91;28;0;0;0;10;36;23;37;0;11;16;4;344
"Site_f03_s10";"F03";3;100;84;0;0;0;0;6;101;46;26;6;0;0;21;309
"Site_f04_s01";"F04";4;100;73;0;0;38;0;2;0;31;0;2;0;0;6;187
"Site_f04_s02";"F04";4;100;74;1;0;0;0;12;11;33;27;0;0;2;2;270
"Site_f04_s03";"F04";4;100;92;49;0;36;86;0;41;0;0;5;5;0;0;287
"Site_f04_s04";"F04";4;100;81;16;0;131;0;10;27;0;17;2;4;6;0;101
"Site_f04_s05";"F04";4;100;90;0;0;28;0;0;8;37;32;5;6;0;11;414
"Site_f04_s06";"F04";4;100;87;53;67;0;64;12;20;19;20;7;0;1;0;192
"Site_f04_s07";"F04";4;100;73;0;0;1;0;0;0;16;23;0;4;0;21;238
"Site_f04_s08";"F04";4;100;88;38;47;0;256;16;7;18;22;6;4;4;11;103
"Site_f04_s09";"F04";4;100;89;1;100;109;0;28;17;32;26;6;1;1;0;174
"Site_f04_s10";"F04";4;100;86;64;0;132;0;2;0;72;5;0;0;11;0;135
"Site_f05_s01";"F05";5;100;85;50;0;0;0;24;37;0;9;4;8;1;0;147
"Site_f05_s02";"F05";5;100;60;0;0;31;0;0;0;0;0;1;2;0;15;90
"Site_f05_s03";"F05";5;100;90;118;0;80;76;0;9;10;17;1;4;0;0;258
"Site_f05_s04";"F05";5;100;80;0;0;122;63;18;21;0;0;1;1;0;3;68
"Site_f05_s05";"F05";5;100;78;51;16;71;0;24;15;29;15;6;0;7;0;83
"Site_f05_s06";"F05";5;100;88;75;95;0;0;0;9;10;25;1;4;2;2;136
"Site_f05_s07";"F05";5;100;94;51;0;58;188;12;43;14;19;3;0;0;0;340
"Site_f05_s08";"F05";5;100;78;0;0;42;0;4;0;18;0;5;0;1;0;401
"Site_f05_s09";"F05";5;100;92;0;0;0;30;10;10;32;0;2;0;4;0;605
"Site_f05_s10";"F05";5;100;85;0;0;100;0;30;56;22;0;3;0;0;0;110
"Site_f06_s01";"F06";6;100;81;0;0;0;18;13;41;26;28;0;8;0;2;179
"Site_f06_s02";"F06";6;100;86;0;144;0;0;22;11;14;19;2;4;0;5;186
"Site_f06_s03";"F06";6;100;78;30;28;0;0;15;35;0;11;0;7;0;0;149
"Site_f06_s04";"F06";6;100;86;0;0;105;81;48;0;0;13;5;0;11;2;221
"Site_f06_s05";"F06";6;100;83;41;0;0;91;17;15;16;11;17;14;0;8;162
"Site_f06_s06";"F06";6;100;69;0;70;0;0;8;15;24;10;0;0;5;4;72
"Site_f06_s07";"F06";6;100;78;91;0;29;0;16;23;9;0;4;1;0;3;242
"Site_f06_s08";"F06";6;100;74;0;40;0;0;33;14;0;15;3;0;0;3;119
"Site_f06_s09";"F06";6;100;80;76;35;0;0;0;37;0;0;10;3;0;3;123
"Site_f06_s10";"F06";6;100;86;107;32;0;0;36;37;29;20;7;14;0;2;194
"Site_f07_s01";"F07";7;100;93;175;76;0;12;1;73;0;24;0;5;5;2;388
"Site_f07_s02";"F07";7;100;91;27;56;0;81;35;9;6;17;10;5;0;8;193
"Site_f07_s03";"F07";7;100;73;0;48;0;0;21;13;29;10;0;3;0;2;111
"Site_f07_s04";"F07";7;100;88;1;60;28;55;1;33;2;14;6;0;0;2;217
"Site_f07_s05";"F07";7;100;85;91;75;0;49;61;40;0;24;0;2;0;0;169
"Site_f07_s06";"F07";7;100;89;0;26;0;0;15;13;10;13;2;0;0;0;437
"Site_f07_s07";"F07";7;100;84;58;0;0;118;25;5;18;20;0;0;3;0;149
"Site_f07_s08";"F07";7;100;83;0;119;0;0;0;15;18;13;7;16;0;1;135
"Site_f07_s09";"F07";7;100;84;65;0;0;23;19;19;5;12;2;2;0;5;175
"Site_f07_s10";"F07";7;100;74;1;0;0;45;64;10;13;53;1;5;8;1;84
"Site_f08_s01";"F08";8;100;78;0;53;0;11;31;0;4;19;18;4;3;1;119
"Site_f08_s02";"F08";8;100;79;61;14;0;124;23;21;14;11;0;0;1;3;68
"Site_f08_s03";"F08";8;100;85;0;49;0;15;42;16;0;16;0;2;5;2;330
"Site_f08_s04";"F08";8;100;73;0;28;0;6;0;1;38;6;0;3;1;2;170
"Site_f08_s05";"F08";8;100;93;371;46;77;27;66;11;36;21;0;3;0;0;126
"Site_f08_s06";"F08";8;100;83;0;63;26;87;99;9;11;20;13;3;0;0;113
"Site_f08_s07";"F08";8;100;85;189;0;0;42;48;18;0;1;0;0;0;7;119
"Site_f08_s08";"F08";8;100;80;67;62;9;16;15;10;0;5;5;5;2;6;80
"Site_f08_s09";"F08";8;100;87;0;137;0;0;15;26;18;17;11;2;0;1;134
"Site_f08_s10";"F08";8;100;82;60;41;0;23;0;21;0;25;3;6;0;2;166
"Site_f09_s01";"F09";9;100;84;92;0;0;0;23;44;0;14;11;7;0;0;92
"Site_f09_s02";"F09";9;100;77;1;0;0;22;28;13;18;2;12;3;0;10;156
"Site_f09_s03";"F09";9;100;85;74;0;31;0;135;5;11;6;0;8;4;0;66
"Site_f09_s04";"F09";9;100;83;0;46;0;40;37;31;10;18;24;0;0;1;264
"Site_f09_s05";"F09";9;100;73;0;0;0;10;41;21;0;12;0;4;0;1;130
"Site_f09_s06";"F09";9;100;76;0;63;0;47;15;30;2;2;7;0;1;2;119
"Site_f09_s07";"F09";9;100;91;0;97;0;44;57;14;9;9;5;5;0;3;206
"Site_f09_s08";"F09";9;100;78;0;40;11;0;0;6;0;5;0;11;0;0;193
"Site_f09_s09";"F09";9;100;74;0;63;0;10;43;25;6;11;0;10;0;0;108
"Site_f09_s10";"F09";9;100;85;0;59;7;12;49;25;15;12;4;2;1;0;122
"Site_f10_s01";"F10";10;100;87;0;79;0;5;70;18;0;5;21;11;0;1;249
"Site_f10_s02";"F10";10;100;96;113;99;0;64;66;17;8;5;14;5;0;2;308
"Site_f10_s03";"F10";10;100;92;1;74;0;40;0;10;0;6;29;3;3;1;433
"Site_f10_s04";"F10";10;100;77;0;48;0;0;57;12;18;4;6;5;0;3;111
"Site_f10_s05";"F10";10;100;93;346;62;0;9;43;22;0;22;16;3;0;2;216
"Site_f10_s06";"F10";10;100;86;149;0;14;20;57;16;3;12;5;2;1;1;182
"Site_f10_s07";"F10";10;100;87;97;0;0;0;82;107;0;3;7;3;1;0;305
"Site_f10_s08";"F10";10;100;92;199;88;0;48;60;57;16;0;18;3;0;3;172
"Site_f10_s09";"F10";10;100;80;0;146;0;7;0;10;10;8;0;4;1;5;123
"Site_f10_s10";"F10";10;100;91;86;26;0;20;0;23;0;5;6;3;3;4;496
