"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;91;5;0;0;0;6;0;105;123;1;0;10;0;203
"Site_f01_s02";"F01";1;100;93;0;0;0;0;17;20;21;0;1;0;19;0;427
"Site_f01_s03";"F01";1;100;94;23;0;309;0;9;0;28;0;4;0;16;0;202
"Site_f01_s04";"F01";1;100;91;0;0;373;0;3;27;122;126;3;0;22;0;210
"Site_f01_s05";"F01";1;100;67;0;0;0;0;2;7;43;43;0;0;0;0;111
"Site_f01_s06";"F01";1;100;94;0;0;0;281;8;30;65;0;4;0;3;0;386
"Site_f01_s07";"F01";1;100;91;21;0;157;0;3;14;36;0;0;0;20;0;172
"Site_f01_s08";"F01";1;100;76;0;0;0;0;7;21;38;0;2;0;8;0;177
"Site_f01_s09";"F01";1;100;96;7;0;675;0;5;24;23;0;0;0;12;0;286
"Site_f01_s10";"F01";1;100;75;14;0;0;0;4;18;0;38;0;0;11;4;229
"Site_f02_s01";"F02";2;100;71;0;0;0;0;9;10;35;42;5;0;12;0;112
"Site_f02_s02";"F02";2;100;84;13;37;102;0;0;18;50;0;1;0;0;0;183
"Site_f02_s03";"F02";2;100;86;0;0;154;0;6;0;19;0;3;0;0;0;124
"Site_f02_s04";"F02";2;100;93;0;0;190;0;12;18;93;45;1;1;5;0;249
"Site_f02_s05";"F02";2;100;83;0;0;299;0;0;0;59;92;0;0;8;3;192
"Site_f02_s06";"F02";2;100;90;0;0;235;0;7;22;54;24;1;0;12;7;202
"Site_f02_s07";"F02";2;100;84;23;0;58;0;9;0;49;33;2;0;2;0;299
"Site_f02_s08";"F02";2;100;84;48;0;118;0;0;14;76;22;0;0;16;0;211
"Site_f02_s09";"F02";2;100;91;0;45;79;0;8;38;10;105;4;0;0;0;429
"Site_f02_s10";"F02";2;100;87;0;6;117;0;5;15;35;28;2;0;15;0;155
"Site_f03_s01";"F03";3;100;75;0;0;0;0;4;0;61;36;2;0;20;9;97
"Site_f03_s02";"F03";3;100;92;35;0;0;0;7;72;87;19;0;0;10;0;407
"Site_f03_s03";"F03";3;100;73;0;50;0;0;0;0;19;0;0;2;7;5;172
"Site_f03_s04";"F03";3;100;79;0;0;72;0;6;32;33;0;5;8;8;5;141
"Site_f03_s05";"F03";3;100;77;0;40;0;55;2;6;0;0;0;5;7;5;119
"Site_f03_s06";"F03";3;100;89;0;70;235;89;3;25;29;0;1;4;0;0;193
"Site_f03_s07";"F03";3;100;82;0;0;0;65;0;21;60;14;0;15;4;0;160
"Site_f03_s08";"F03";3;100;92;36;0;95;0;16;24;81;20;2;0;0;4;227
"Site_f03_s09";"F03";3;100;92;0;0;188;93;15;0;66;19;3;0;8;4;196
"Site_f03_s10";"F03";3;100;86;0;0;67;0;8;20;42;0;0;1;4;0;323
"Site_f04_s01";"F04";4;100;85;73;68;0;0;11;21;31;57;8;6;0;4;361
