"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;79;8;0;0;0;6;0;81;0;0;0;9;0;212
"Site_f01_s02";"F01";1;100;82;44;0;101;0;7;0;52;0;0;0;22;0;33
"Site_f01_s03";"F01";1;100;89;0;56;108;0;5;27;24;0;0;9;0;0;310
"Site_f01_s04";"F01";1;100;69;22;0;0;0;11;0;81;0;0;0;6;3;73
"Site_f01_s05";"F01";1;100;88;0;42;0;0;0;16;0;183;2;0;16;13;389
"Site_f01_s06";"F01";1;100;93;20;0;322;0;1;25;53;42;0;0;30;15;224
"Site_f01_s07";"F01";1;100;94;27;0;213;0;5;18;0;66;0;0;4;0;221
"Site_f01_s08";"F01";1;100;80;16;0;79;0;8;0;0;22;2;0;7;17;132
"Site_f01_s09";"F01";1;100;66;0;0;0;0;18;0;55;0;3;11;3;0;93
"Site_f01_s10";"F01";1;100;74;0;0;65;0;0;14;12;0;0;1;18;0;66
"Site_f02_s01";"F02";2;100;76;0;0;157;0;0;11;42;0;4;10;6;0;135
"Site_f02_s02";"F02";2;100;85;0;0;71;0;8;22;96;0;0;3;0;0;332
"Site_f02_s03";"F02";2;100;83;0;0;35;0;0;0;20;29;1;2;0;0;270
"Site_f02_s04";"F02";2;100;79;0;0;117;0;10;0;44;0;0;7;5;0;86
"Site_f02_s05";"F02";2;100;94;0;0;103;0;6;0;0;53;0;4;4;0;337
"Site_f02_s06";"F02";2;100;77;0;0;149;0;0;0;28;0;0;0;13;0;170
"Site_f02_s07";"F02";2;100;80;0;0;84;26;8;0;49;72;0;0;12;4;79
"Site_f02_s08";"F02";2;100;88;18;0;190;0;3;15;36;0;9;3;4;0;180
"Site_f02_s09";"F02";2;100;84;0;0;64;0;4;25;85;0;3;0;7;0;102
"Site_f02_s10";"F02";2;100;90;0;46;256;0;0;0;53;0;0;6;10;0;202
"Site_f03_s01";"F03";3;100;78;0;0;71;0;0;14;19;54;4;0;11;4;145
"Site_f03_s02";"F03";3;100;87;22;0;36;83;11;18;32;34;1;0;0;6;251
"Site_f03_s03";"F03";3;100;82;0;0;0;0;13;29;28;0;0;0;0;0;269
"Site_f03_s04";"F03";3;100;85;49;0;77;0;23;28;51;24;0;0;2;0;106
"Site_f03_s05";"F03";3;100;65;0;0;0;0;0;0;0;13;0;5;5;12;133
"Site_f03_s06";"F03";3;100;75;0;0;0;0;3;19;79;0;0;5;19;0;107
