"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;88;0;0;0;273;3;4;0;38;0;0;10;0;196
"Site_f01_s02";"F01";1;100;66;0;0;0;0;0;26;81;0;0;0;5;0;72
"Site_f01_s03";"F01";1;100;95;47;0;227;0;0;13;62;71;1;0;4;0;227
"Site_f01_s04";"F01";1;100;98;12;31;258;263;5;17;57;0;1;4;9;0;307
"Site_f01_s05";"F01";1;100;95;0;0;646;0;11;32;11;30;0;4;7;0;133
"Site_f01_s06";"F01";1;100;93;0;0;261;0;8;16;67;0;0;9;6;0;483
"Site_f01_s07";"F01";1;100;79;12;0;96;0;0;0;61;115;0;0;4;0;41
"Site_f01_s08";"F01";1;100;94;38;79;341;0;11;18;86;0;1;0;43;22;210
"Site_f01_s09";"F01";1;100;92;0;0;318;0;20;0;186;0;0;0;0;0;280
"Site_f01_s10";"F01";1;100;85;18;0;134;0;0;0;86;0;3;0;16;8;160
"Site_f02_s01";"F02";2;100;91;0;0;264;0;5;11;49;61;2;0;5;0;206
"Site_f02_s02";"F02";2;100;76;18;0;84;0;10;8;29;0;0;0;11;0;53
"Site_f02_s03";"F02";2;100;77;0;0;0;0;0;20;11;0;0;1;14;0;297
"Site_f02_s04";"F02";2;100;88;9;0;105;0;0;28;13;21;2;2;0;0;343
"Site_f02_s05";"F02";2;100;91;25;0;102;0;10;0;0;25;0;0;0;4;310
"Site_f02_s06";"F02";2;100;78;0;0;110;0;8;0;0;56;0;4;0;10;113
"Site_f02_s07";"F02";2;100;89;0;50;206;0;7;29;15;33;0;5;12;5;201
"Site_f02_s08";"F02";2;100;96;0;0;168;135;5;34;23;21;0;0;3;0;395
"Site_f02_s09";"F02";2;100;86;16;0;89;0;0;60;0;41;0;6;3;0;179
"Site_f02_s10";"F02";2;100;88;69;46;153;0;53;34;6;0;0;0;15;2;127
"Site_f03_s01";"F03";3;100;74;29;0;0;0;5;0;48;41;0;3;3;0;87
