"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;90;14;0;92;0;0;19;29;24;2;0;11;0;376
"Site_f01_s02";"F01";1;100;92;14;0;173;0;2;0;67;0;4;4;24;0;214
"Site_f01_s03";"F01";1;100;89;0;101;268;0;8;10;28;0;0;0;13;0;146
"Site_f01_s04";"F01";1;100;86;41;0;0;0;2;54;188;0;1;1;0;10;113
"Site_f01_s05";"F01";1;100;74;10;0;0;0;24;27;51;51;0;0;10;0;83
"Site_f01_s06";"F01";1;100;92;8;0;217;0;0;17;89;75;0;0;4;0;90
"Site_f01_s07";"F01";1;100;82;0;0;123;0;4;14;55;0;0;9;5;0;117
"Site_f01_s08";"F01";1;100;79;29;0;0;0;2;10;45;0;0;0;0;3;176
"Site_f01_s09";"F01";1;100;92;6;0;105;0;1;8;64;48;1;0;18;0;557
"Site_f01_s10";"F01";1;100;86;0;0;128;0;0;0;35;77;0;2;67;0;105
"Site_f02_s01";"F02";2;100;58;0;0;0;0;4;0;30;31;2;0;0;0;69
"Site_f02_s02";"F02";2;100;85;0;27;0;0;8;23;31;0;3;1;15;0;291
"Site_f02_s03";"F02";2;100;88;0;0;312;0;0;0;25;0;2;0;20;8;135
"Site_f02_s04";"F02";2;100;85;20;0;65;0;0;17;65;31;2;3;9;5;111
"Site_f02_s05";"F02";2;100;90;0;0;189;0;4;19;44;0;3;0;8;0;340
"Site_f02_s06";"F02";2;100;93;0;0;335;0;4;0;28;66;3;0;0;0;157
"Site_f02_s07";"F02";2;100;84;24;0;190;0;7;17;64;49;1;12;0;9;122
"Site_f02_s08";"F02";2;100;81;0;0;69;0;3;11;23;33;0;2;0;14;164
"Site_f02_s09";"F02";2;100;89;0;0;249;0;14;0;34;62;0;0;6;23;151
"Site_f02_s10";"F02";2;100;75;0;0;0;0;23;29;24;0;1;0;0;15;149
"Site_f03_s01";"F03";3;100;84;0;0;0;0;17;0;15;117;0;0;5;0;141
"Site_f03_s02";"F03";3;100;86;0;0;88;0;9;19;16;0;0;0;5;2;211
"Site_f03_s03";"F03";3;100;79;0;0;50;0;8;0;39;8;2;0;6;0;209
"Site_f03_s04";"F03";3;100;66;0;0;0;0;7;0;73;24;2;0;0;6;47
"Site_f03_s05";"F03";3;100;72;0;0;0;0;27;0;55;42;0;4;5;7;93
"Site_f03_s06";"F03";3;100;87;0;0;0;0;5;0;27;61;0;0;13;0;428
"Site_f03_s07";"F03";3;100;81;0;93;0;0;21;20;55;46;1;2;0;0;84
"Site_f03_s08";"F03";3;100;80;0;0;121;0;6;0;50;11;5;1;18;1;83
"Site_f03_s09";"F03";3;100;91;47;25;163;0;5;14;17;64;0;0;8;0;226
"Site_f03_s10";"F03";3;100;83;50;0;0;64;0;88;45;27;0;0;3;0;130
"Site_f04_s01";"F04";4;100;67;28;91;0;0;4;6;0;8;0;0;2;0;55
"Site_f04_s02";"F04";4;100;67;0;0;0;0;13;32;0;38;0;4;4;0;106
"Site_f04_s03";"F04";4;100;77;0;72;0;59;0;0;55;0;0;0;5;7;88
"Site_f04_s04";"F04";4;100;79;0;0;95;0;20;6;15;0;1;0;1;0;171
"Site_f04_s05";"F04";4;100;67;53;0;0;0;33;12;23;14;4;0;2;5;76
"Site_f04_s06";"F04";4;100;84;76;0;54;0;8;0;24;0;2;0;8;0;210
"Site_f04_s07";"F04";4;100;89;61;14;84;53;9;9;31;0;1;5;5;0;484
"Site_f04_s08";"F04";4;100;85;42;0;62;0;40;17;22;69;0;5;4;11;140
"Site_f04_s09";"F04";4;100;80;38;0;0;0;3;25;51;0;0;0;2;0;290
"Site_f04_s10";"F04";4;100;85;52;0;56;102;11;0;25;37;1;0;4;0;151
