"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;88;12;0;0;0;7;0;25;75;0;0;40;0;226
"Site_f01_s02";"F01";1;100;82;0;0;0;0;0;10;55;32;1;7;7;7;248
"Site_f01_s03";"F01";1;100;86;0;0;100;0;11;0;102;46;1;0;8;0;164
"Site_f01_s04";"F01";1;100;89;33;0;109;0;17;0;34;21;0;0;36;0;145
"Site_f01_s05";"F01";1;100;78;13;35;123;0;13;2;22;0;1;0;3;0;131
"Site_f01_s06";"F01";1;100;84;32;19;166;0;15;0;0;0;0;0;0;13;74
"Site_f01_s07";"F01";1;100;96;0;0;342;0;13;0;62;0;0;0;14;0;475
"Site_f01_s08";"F01";1;100;88;22;0;0;0;19;0;105;162;2;0;25;0;123
"Site_f01_s09";"F01";1;100;90;0;0;213;0;4;17;50;15;0;0;1;13;228
"Site_f01_s10";"F01";1;100;89;0;0;0;111;3;19;139;126;3;0;2;11;136
"Site_f02_s01";"F02";2;100;85;39;0;0;0;6;0;63;62;0;0;3;0;160
"Site_f02_s02";"F02";2;100;84;0;0;98;0;7;0;58;34;4;0;9;10;175
"Site_f02_s03";"F02";2;100;78;26;0;0;0;4;15;52;143;1;0;0;6;51
"Site_f02_s04";"F02";2;100;90;23;0;0;0;0;0;42;14;10;0;19;0;425
"Site_f02_s05";"F02";2;100;92;16;0;119;95;22;19;94;35;0;0;0;0;228
"Site_f02_s06";"F02";2;100;86;11;50;170;0;11;21;10;0;0;4;0;0;114
"Site_f02_s07";"F02";2;100;75;0;0;75;0;0;0;30;29;0;0;8;0;100
"Site_f02_s08";"F02";2;100;86;0;0;76;0;18;15;35;27;0;0;13;17;90
"Site_f02_s09";"F02";2;100;88;43;0;0;0;4;31;74;0;1;0;14;0;264
"Site_f02_s10";"F02";2;100;77;0;0;103;0;3;19;107;12;1;0;2;0;93
"Site_f03_s01";"F03";3;100;80;26;0;0;0;21;30;51;52;0;0;10;0;174
"Site_f03_s02";"F03";3;100;71;0;0;78;56;11;0;12;0;0;1;0;8;26
"Site_f03_s03";"F03";3;100;75;74;0;0;0;5;19;0;31;2;2;0;0;159
"Site_f03_s04";"F03";3;100;89;0;0;92;0;4;0;31;0;1;0;0;0;439
"Site_f03_s05";"F03";3;100;80;0;30;63;53;12;0;57;0;5;0;13;6;87
"Site_f03_s06";"F03";3;100;88;20;0;52;0;7;26;27;0;1;0;22;0;195
"Site_f03_s07";"F03";3;100;76;31;0;0;0;5;11;16;21;6;0;11;4;112
"Site_f03_s08";"F03";3;100;75;0;0;172;0;0;20;20;0;2;0;3;0;57
"Site_f03_s09";"F03";3;100;90;20;24;52;0;0;9;18;0;5;0;8;14;435
"Site_f03_s10";"F03";3;100;85;94;0;52;0;11;54;46;7;0;0;23;0;118
"Site_f04_s01";"F04";4;100;94;29;0;147;102;0;8;27;0;6;6;11;5;305
"Site_f04_s02";"F04";4;100;92;64;0;168;83;8;0;23;0;0;0;14;0;324
"Site_f04_s03";"F04";4;100;89;14;0;49;210;23;0;28;53;3;4;0;0;393
"Site_f04_s04";"F04";4;100;78;0;0;58;0;15;0;21;31;0;0;1;0;208
"Site_f04_s05";"F04";4;100;89;16;82;169;0;20;21;27;24;2;0;11;7;118
"Site_f04_s06";"F04";4;100;75;26;37;49;0;2;28;25;0;0;0;2;0;97
"Site_f04_s07";"F04";4;100;72;0;0;57;0;7;0;13;28;5;0;7;2;82
"Site_f04_s08";"F04";4;100;93;0;86;122;0;20;46;52;17;0;0;1;14;191
"Site_f04_s09";"F04";4;100;83;0;68;0;0;44;16;99;14;0;0;0;3;154
"Site_f04_s10";"F04";4;100;86;29;112;0;0;26;0;0;26;0;0;0;0;198
"Site_f05_s01";"F05";5;100;79;0;0;41;0;21;45;9;13;5;3;2;4;265
"Site_f05_s02";"F05";5;100;54;0;0;0;0;16;14;61;10;5;0;0;2;48
"Site_f05_s03";"F05";5;100;78;0;0;92;0;0;0;21;58;3;14;8;0;100
"Site_f05_s04";"F05";5;100;87;45;0;0;0;30;36;29;17;2;6;7;0;207
"Site_f05_s05";"F05";5;100;76;35;0;39;0;30;0;15;31;11;3;0;0;253
"Site_f05_s06";"F05";5;100;84;36;0;0;117;0;13;29;0;2;8;5;0;115
"Site_f05_s07";"F05";5;100;80;0;0;0;52;18;0;20;29;0;4;0;4;204
"Site_f05_s08";"F05";5;100;86;127;37;0;0;19;22;15;10;0;0;0;6;212
"Site_f05_s09";"F05";5;100;86;30;139;0;0;46;10;0;22;5;0;0;6;228
"Site_f05_s10";"F05";5;100;86;0;0;40;0;12;20;20;48;2;0;8;2;234
"Site_f06_s01";"F06";6;100;78;0;20;16;0;64;16;20;8;0;2;5;0;192
"Site_f06_s02";"F06";6;100;69;0;70;29;38;13;0;0;3;3;3;1;0;73
"Site_f06_s03";"F06";6;100;93;0;0;0;59;43;79;28;22;0;0;0;1;164
"Site_f06_s04";"F06";6;100;70;0;0;0;0;47;23;4;15;5;0;0;5;111
"Site_f06_s05";"F06";6;100;81;30;0;0;28;0;25;19;29;8;0;0;5;119
"Site_f06_s06";"F06";6;100;70;0;0;0;0;0;10;20;6;7;5;1;0;89
"Site_f06_s07";"F06";6;100;82;0;38;0;0;28;16;0;14;1;0;4;7;624
"Site_f06_s08";"F06";6;100;72;0;0;0;0;9;12;35;3;0;0;0;3;278
"Site_f06_s09";"F06";6;100;80;78;0;134;0;0;28;0;7;0;5;2;4;116
"Site_f06_s10";"F06";6;100;89;306;0;0;0;28;22;30;19;5;0;2;0;69
"Site_f07_s01";"F07";7;100;71;0;0;0;88;0;0;7;9;9;0;14;4;104
"Site_f07_s02";"F07";7;100;89;74;73;44;0;40;0;41;12;0;0;0;0;156
"Site_f07_s03";"F07";7;100;87;64;0;0;0;29;80;0;9;0;10;6;2;139
"Site_f07_s04";"F07";7;100;83;71;107;0;0;0;18;16;18;0;0;4;2;89
"Site_f07_s05";"F07";7;100;58;0;0;0;22;0;0;7;9;0;1;0;1;72
"Site_f07_s06";"F07";7;100;81;0;27;0;136;0;15;0;16;10;7;1;5;147
"Site_f07_s07";"F07";7;100;90;0;0;0;0;46;15;0;22;0;0;0;5;377
"Site_f07_s08";"F07";7;100;83;97;69;0;30;0;12;0;13;3;10;3;8;89
"Site_f07_s09";"F07";7;100;91;158;84;22;46;22;0;5;16;0;3;0;5;323
"Site_f07_s10";"F07";7;100;49;0;0;0;0;16;28;9;13;0;2;0;0;34
"Site_f08_s01";"F08";8;100;83;0;60;0;76;27;21;0;10;7;0;0;1;178
"Site_f08_s02";"F08";8;100;95;87;108;0;21;27;37;0;8;3;11;0;4;413
