"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;78;22;0;71;0;4;65;43;0;0;0;20;5;43
"Site_f01_s02";"F01";1;100;97;30;0;144;0;3;0;173;52;0;0;11;0;351
"Site_f01_s03";"F01";1;100;54;38;0;0;0;0;0;29;0;7;0;4;0;46
"Site_f01_s04";"F01";1;100;82;0;0;0;0;0;5;60;56;0;0;10;0;292
"Site_f01_s05";"F01";1;100;86;10;0;203;0;1;0;33;0;1;0;19;0;88
"Site_f01_s06";"F01";1;100;96;0;0;381;0;8;20;263;0;0;0;9;15;418
"Site_f01_s07";"F01";1;100;96;15;0;87;257;0;15;67;69;0;0;17;0;287
"Site_f01_s08";"F01";1;100;87;0;0;45;0;7;0;62;0;2;0;2;0;239
"Site_f01_s09";"F01";1;100;84;0;0;108;0;18;37;27;0;0;0;11;0;227
"Site_f01_s10";"F01";1;100;77;0;0;79;0;14;32;23;40;0;5;0;13;102
"Site_f02_s01";"F02";2;100;81;0;0;0;0;5;14;18;0;0;0;6;29;312
"Site_f02_s02";"F02";2;100;81;0;0;0;0;5;30;38;0;1;0;23;0;256
"Site_f02_s03";"F02";2;100;92;0;0;227;0;6;24;27;37;0;0;15;9;153
"Site_f02_s04";"F02";2;100;97;28;21;91;102;17;0;40;32;0;0;5;0;158
"Site_f02_s05";"F02";2;100;90;29;0;190;0;8;9;0;0;5;0;12;0;286
"Site_f02_s06";"F02";2;100;86;0;0;175;0;9;47;27;27;0;0;17;0;163
"Site_f02_s07";"F02";2;100;87;0;129;0;0;3;15;57;44;0;0;0;0;140
"Site_f02_s08";"F02";2;100;78;0;0;160;0;8;13;0;51;3;2;24;0;86
"Site_f02_s09";"F02";2;100;62;0;0;0;0;3;0;52;21;0;8;0;0;94
"Site_f02_s10";"F02";2;100;89;0;0;90;0;7;0;114;38;2;0;0;0;94
"Site_f03_s01";"F03";3;100;84;0;0;202;0;6;44;8;23;0;0;15;0;178
"Site_f03_s02";"F03";3;100;93;18;52;76;0;6;17;33;53;3;18;20;4;346
"Site_f03_s03";"F03";3;100;81;0;173;0;0;2;0;9;31;0;0;12;12;69
"Site_f03_s04";"F03";3;100;84;0;0;185;0;13;0;20;0;0;3;0;0;340
"Site_f03_s05";"F03";3;100;99;47;47;91;319;9;51;40;16;2;0;6;7;747
"Site_f03_s06";"F03";3;100;90;0;0;163;0;19;17;72;62;1;4;10;2;246
"Site_f03_s07";"F03";3;100;89;0;0;143;0;15;0;40;0;2;0;0;6;327
"Site_f03_s08";"F03";3;100;95;58;0;123;189;24;18;46;62;2;0;7;0;147
"Site_f03_s09";"F03";3;100;95;0;0;67;0;11;30;51;33;4;0;0;0;388
"Site_f03_s10";"F03";3;100;89;0;0;0;0;7;20;78;84;0;0;5;0;282
"Site_f04_s01";"F04";4;100;73;0;0;0;0;11;11;0;20;0;4;0;3;186
"Site_f04_s02";"F04";4;100;66;0;0;0;0;17;8;40;0;0;7;4;0;101
"Site_f04_s03";"F04";4;100;82;0;47;36;0;21;0;24;45;0;0;7;0;210
"Site_f04_s04";"F04";4;100;84;0;0;56;148;15;27;37;17;10;0;5;4;87
"Site_f04_s05";"F04";4;100;69;0;0;59;0;5;15;20;0;0;0;13;0;107
"Site_f04_s06";"F04";4;100;91;44;20;0;26;30;22;52;90;2;0;3;0;163
"Site_f04_s07";"F04";4;100;83;84;39;0;0;46;0;19;17;3;3;11;13;134
"Site_f04_s08";"F04";4;100;93;0;0;107;0;12;0;31;128;0;1;2;6;306
"Site_f04_s09";"F04";4;100;84;28;0;38;0;6;0;44;0;0;4;1;0;268
"Site_f04_s10";"F04";4;100;86;0;170;46;0;0;0;0;31;0;0;0;0;270
"Site_f05_s01";"F05";5;100;87;40;75;60;152;0;0;0;0;8;4;2;0;55
"Site_f05_s02";"F05";5;100;65;0;0;0;0;0;12;18;30;1;0;0;0;67
"Site_f05_s03";"F05";5;100;84;0;0;39;0;0;22;15;71;0;3;14;7;220
"Site_f05_s04";"F05";5;100;82;51;0;0;0;24;36;0;15;4;1;5;0;274
