"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;57;0;0;14;0;0;0;1;0;15;2;25;0;0;3;2;0;0;0;0;0;0;0;0;0;48;7;0;6;14;8;42;5;0;6
"Site_f01_s02";"F01";1;100;56;0;0;41;0;0;0;4;0;0;0;6;0;0;4;9;0;0;0;0;0;0;0;0;0;26;17;0;0;41;21;6;13;0;0
"Site_f01_s03";"F01";1;100;41;0;0;16;0;0;0;0;0;0;1;5;0;0;4;2;0;0;0;1;0;2;0;1;0;16;1;1;15;16;1;6;7;1;18
"Site_f01_s04";"F01";1;100;71;0;5;25;0;0;0;0;0;13;0;5;0;0;0;14;0;9;0;0;0;0;0;0;0;90;0;2;3;30;0;18;16;9;3
"Site_f01_s05";"F01";1;100;79;0;0;34;0;28;0;2;0;0;0;23;0;0;0;20;0;0;1;4;0;0;0;5;0;36;77;4;9;34;107;23;24;5;14
"Site_f01_s06";"F01";1;100;67;37;0;0;0;19;0;1;0;12;0;9;0;0;0;20;0;0;0;4;0;0;0;2;0;36;57;0;0;37;77;21;20;4;2
"Site_f01_s07";"F01";1;100;47;0;0;36;0;0;0;0;0;0;0;11;0;1;0;17;0;0;0;10;0;0;0;0;0;25;0;2;0;36;0;11;20;10;0
"Site_f01_s08";"F01";1;100;47;0;0;7;0;0;0;6;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;53;28;0;3;7;34;11;0;0;3
"Site_f01_s09";"F01";1;100;64;0;0;27;0;0;0;8;0;24;1;8;0;0;1;0;0;0;0;7;0;0;0;0;0;41;11;0;0;27;19;33;1;7;0
"Site_f01_s10";"F01";1;100;47;0;7;15;0;0;0;2;0;0;0;14;0;0;0;0;0;0;0;10;0;0;0;5;0;34;5;0;1;22;7;14;0;10;6
"Site_f02_s01";"F02";2;100;60;0;7;0;0;0;0;0;0;0;1;0;0;57;0;0;0;0;3;0;0;0;0;0;0;58;1;7;0;7;1;1;64;3;0
"Site_f02_s02";"F02";2;100;43;0;1;0;4;0;0;0;0;0;0;0;0;0;4;0;3;0;1;0;1;0;1;0;0;49;1;0;0;5;1;0;7;2;1
"Site_f02_s03";"F02";2;100;63;0;2;0;0;0;0;0;0;44;0;0;0;0;0;0;0;45;0;0;0;0;0;0;1;38;1;0;0;2;1;44;0;45;1
