"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;62;0;0;45;0;5;0;2;0;0;2;9;0;0;3;3;0;5;0;3;0;0;0;3;0;49;20;1;5;45;27;11;7;8;8
"Site_f01_s02";"F01";1;100;59;0;0;0;0;0;2;12;0;0;0;1;0;23;0;5;0;0;0;5;0;0;0;0;0;40;40;4;0;0;54;1;32;5;0
"Site_f01_s03";"F01";1;100;50;0;2;17;0;0;0;12;0;0;0;10;0;0;0;0;0;0;1;10;0;0;0;5;0;17;18;0;7;19;30;10;0;11;12
"Site_f01_s04";"F01";1;100;68;0;3;0;0;0;2;9;0;0;1;6;0;0;0;5;0;0;0;3;0;0;0;2;0;97;32;0;2;3;43;7;5;3;4
"Site_f01_s05";"F01";1;100;75;0;0;35;0;0;0;0;0;5;0;7;0;8;1;13;0;0;1;3;0;2;0;0;0;149;0;2;6;35;0;12;24;4;8
"Site_f01_s06";"F01";1;100;47;0;4;0;0;0;0;8;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;33;26;0;5;4;34;6;0;0;7
"Site_f01_s07";"F01";1;100;58;0;2;15;0;0;1;2;0;0;0;0;0;0;1;7;0;0;0;10;0;0;0;6;0;45;9;0;17;17;12;0;8;10;23
"Site_f01_s08";"F01";1;100;61;0;0;19;0;0;0;3;0;0;4;7;0;0;0;3;0;9;0;10;0;0;0;0;0;55;16;0;0;19;19;11;3;19;0
"Site_f01_s09";"F01";1;100;65;0;2;15;0;0;0;4;0;0;5;26;0;10;2;10;0;0;1;4;0;0;2;0;0;54;17;0;1;17;21;31;22;5;3
"Site_f01_s10";"F01";1;100;58;0;0;18;0;0;0;9;0;0;0;4;0;6;2;0;0;0;0;8;0;0;0;2;0;40;16;0;9;18;25;4;8;8;11
"Site_f02_s01";"F02";2;100;74;101;2;0;4;0;0;0;1;16;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;57;3;0;0;107;4;25;0;0;0
"Site_f02_s02";"F02";2;100;45;0;0;0;2;7;0;0;1;0;3;0;3;0;0;0;0;0;2;0;0;0;0;0;0;36;26;0;0;2;34;6;0;2;0
"Site_f02_s03";"F02";2;100;39;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;48;0;0;1;1;0;0;0;3;2
"Site_f02_s04";"F02";2;100;46;0;0;0;1;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;67;5;0;0;1;12;1;0;0;3
"Site_f02_s05";"F02";2;100;41;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;52;1;0;0;0;6;6;1;2;0
"Site_f02_s06";"F02";2;100;41;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;64;9;0;2;0;11;0;0;0;9
"Site_f02_s07";"F02";2;100;42;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;57;2;0;0;0;3;0;3;0;1
"Site_f02_s08";"F02";2;100;55;0;1;0;3;0;2;0;0;0;0;0;2;18;0;0;0;0;2;0;0;0;0;0;0;71;3;4;0;4;5;2;22;2;0
"Site_f02_s09";"F02";2;100;56;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;0;1;19;0;0;0;63;0;1;8;0;0;8;5;1;27
"Site_f02_s10";"F02";2;100;63;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;111;2;0;0;0;3;4;0;0;1
"Site_f03_s01";"F03";3;100;81;70;0;13;3;0;0;32;0;0;0;0;0;0;0;8;0;0;0;6;0;0;0;1;0;200;32;1;2;86;64;0;9;6;3
"Site_f03_s02";"F03";3;100;68;0;0;0;3;13;0;6;0;0;0;0;0;0;0;4;0;0;0;16;0;6;0;1;0;65;34;0;13;3;53;0;4;16;20
"Site_f03_s03";"F03";3;100;68;0;0;12;1;40;0;0;0;0;0;3;0;0;0;11;0;0;0;1;0;0;0;0;0;42;42;6;3;13;82;3;17;1;3
"Site_f03_s04";"F03";3;100;74;0;0;0;0;0;0;9;0;0;0;15;0;23;0;16;0;0;0;9;0;4;0;0;0;112;8;7;13;0;17;15;46;9;17
"Site_f03_s05";"F03";3;100;81;91;0;19;0;0;0;0;0;61;0;15;0;0;0;0;0;0;0;10;0;0;0;0;0;46;0;0;0;110;0;76;0;10;0
"Site_f03_s06";"F03";3;100;85;0;0;0;1;20;0;6;0;0;0;4;0;0;0;4;0;21;0;6;0;0;0;3;0;334;34;1;10;1;60;4;5;27;13
"Site_f03_s07";"F03";3;100;65;0;0;18;0;0;0;15;0;0;0;0;0;0;0;3;0;0;0;5;0;1;0;0;1;102;15;1;13;18;30;0;4;5;15
"Site_f03_s08";"F03";3;100;90;0;0;34;0;0;0;18;2;37;0;12;1;52;0;0;0;0;0;5;0;0;0;0;0;297;12;10;5;34;32;50;62;5;5
"Site_f03_s09";"F03";3;100;82;53;0;18;0;0;0;10;2;0;0;3;0;28;0;2;3;0;0;0;0;0;0;5;0;127;19;8;7;71;31;3;41;0;12
"Site_f03_s10";"F03";3;100;82;0;0;0;0;36;0;10;0;31;0;23;1;0;0;4;0;8;0;7;0;0;0;3;0;78;63;2;1;0;109;55;6;15;4
"Site_f04_s01";"F04";4;100;54;0;6;0;3;0;0;2;3;0;7;7;0;0;0;7;0;0;2;2;1;0;0;4;0;74;9;6;0;9;14;14;13;5;4
"Site_f04_s02";"F04";4;100;57;0;6;0;0;0;0;11;1;0;6;20;2;0;0;13;0;0;0;0;0;0;4;0;0;31;13;2;1;6;25;28;15;0;5
"Site_f04_s03";"F04";4;100;55;0;0;0;4;0;0;12;1;0;0;10;0;0;0;8;1;0;0;3;0;0;0;13;0;41;16;3;2;4;29;10;12;3;15
"Site_f04_s04";"F04";4;100;46;0;0;0;1;0;1;9;0;0;10;0;0;0;1;0;0;0;0;6;0;0;0;0;0;62;6;1;0;1;16;10;2;6;0
"Site_f04_s05";"F04";4;100;68;0;0;38;1;0;5;5;0;0;6;7;0;0;0;8;0;0;1;0;0;0;0;0;1;129;9;1;0;39;19;13;9;1;1
"Site_f04_s06";"F04";4;100;41;0;0;0;0;0;6;6;0;0;0;0;1;0;0;1;0;0;1;0;0;0;6;0;0;27;15;1;0;0;27;1;2;1;6
