"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;41;0;0;17;0;4;1;3;0;0;2;5;0;0;0;6;0;0;0;0;0;0;0;0;0;29;7;0;0;17;15;7;6;0;0
"Site_f01_s02";"F01";1;100;57;0;1;7;0;0;0;5;0;0;0;1;0;0;0;7;0;0;0;10;0;0;0;2;0;86;17;1;3;8;22;1;8;10;5
"Site_f01_s03";"F01";1;100;55;42;0;18;0;0;0;0;0;0;0;10;0;0;1;23;0;0;1;5;0;0;0;0;0;25;0;0;0;60;0;10;24;6;0
"Site_f01_s04";"F01";1;100;50;0;0;0;0;0;0;4;0;0;0;16;0;0;0;0;0;0;0;6;0;0;0;0;0;62;6;0;4;0;10;16;0;6;4
"Site_f01_s05";"F01";1;100;51;0;3;3;0;4;0;1;0;0;1;19;0;0;0;14;0;0;0;0;0;0;1;1;0;30;6;3;10;6;11;20;17;0;12
"Site_f01_s06";"F01";1;100;58;0;0;15;0;0;1;6;0;0;2;16;0;14;0;0;0;0;0;0;0;2;0;3;0;33;12;0;8;15;19;18;14;0;13
"Site_f01_s07";"F01";1;100;73;32;0;66;0;0;0;8;0;0;0;16;0;0;0;0;0;0;0;4;0;0;0;2;0;52;18;0;8;98;26;16;0;4;10
"Site_f01_s08";"F01";1;100;76;0;1;18;0;16;0;5;0;0;0;12;0;0;0;15;0;0;0;0;0;0;0;2;0;97;52;3;5;19;73;12;18;0;7
"Site_f01_s09";"F01";1;100;68;3;1;11;0;0;0;4;0;0;1;15;0;0;0;7;0;0;0;2;0;0;0;3;0;132;12;0;4;15;16;16;7;2;7
"Site_f01_s10";"F01";1;100;58;0;0;30;0;0;0;5;0;0;2;0;0;0;0;21;0;0;0;10;0;0;0;0;0;28;29;0;6;30;34;2;21;10;6
"Site_f02_s01";"F02";2;100;80;181;0;0;5;0;0;0;1;0;0;0;1;0;2;0;3;16;0;0;2;0;0;0;0;98;1;0;0;186;2;1;5;18;0
"Site_f02_s02";"F02";2;100;81;113;2;0;0;42;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;0;106;55;1;0;115;97;0;4;1;1
