"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;56;15;1;15;0;0;1;4;0;0;0;5;0;0;0;6;0;0;0;5;0;0;0;0;0;50;22;0;2;31;27;5;6;5;2
"Site_f01_s02";"F01";1;100;54;0;0;43;0;0;0;3;0;0;1;0;0;0;0;18;0;0;0;4;0;0;0;3;0;22;10;1;8;43;13;1;19;4;11
"Site_f01_s03";"F01";1;100;41;0;4;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;3;0;0;0;0;4;0;28;7;1;4;4;8;0;10;3;8
"Site_f01_s04";"F01";1;100;63;0;0;20;0;0;3;5;0;0;0;9;0;17;0;0;0;0;0;9;0;0;0;2;0;50;28;0;9;20;36;9;17;9;11
"Site_f01_s05";"F01";1;100;48;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;0;8;0;3;0;2;0;4;0;24;14;0;13;0;19;0;10;11;19
"Site_f01_s06";"F01";1;100;53;0;0;3;0;8;0;7;0;0;0;39;0;0;1;0;0;0;0;9;0;0;0;0;0;10;42;0;1;3;57;39;1;9;1
"Site_f01_s07";"F01";1;100;43;0;0;0;0;0;3;6;0;0;0;4;0;9;2;9;0;5;0;0;0;0;0;1;0;22;10;0;2;0;19;4;20;5;3
"Site_f01_s08";"F01";1;100;55;0;3;56;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;3;0;42;16;0;1;59;20;5;0;4;4
"Site_f01_s09";"F01";1;100;58;13;0;0;0;0;0;0;0;16;0;10;0;0;0;4;0;0;0;9;0;0;0;0;0;76;2;0;0;13;2;26;4;9;0
"Site_f01_s10";"F01";1;100;55;0;0;33;0;0;1;14;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;2;0;18;34;1;4;33;49;0;3;2;6
