"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;75;0;0;29;0;0;2;13;0;33;2;21;0;0;0;7;0;0;0;0;0;0;0;3;0;78;32;1;4;29;47;56;8;0;7
"Site_f01_s02";"F01";1;100;70;0;0;27;0;0;0;1;0;0;0;13;0;0;0;14;0;0;0;0;0;2;0;0;0;126;20;0;9;27;21;13;14;0;11
"Site_f01_s03";"F01";1;100;54;0;2;0;0;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;34;0;0;2;48;0;0;0;0
"Site_f01_s04";"F01";1;100;68;0;0;10;0;0;0;12;0;0;0;26;0;7;1;7;0;0;0;0;0;0;0;2;0;73;24;2;1;10;36;26;17;0;3
"Site_f01_s05";"F01";1;100;65;0;0;0;0;0;0;5;0;0;0;5;0;12;0;18;0;0;0;15;0;0;1;0;0;75;10;3;0;0;15;5;33;15;1
"Site_f01_s06";"F01";1;100;74;0;10;29;0;11;1;0;0;0;0;15;0;8;0;16;0;0;1;0;0;0;1;2;0;79;21;2;3;39;33;15;26;1;6
"Site_f01_s07";"F01";1;100;52;0;0;19;0;9;2;2;0;0;2;5;0;0;0;14;0;0;0;4;0;0;0;0;0;16;36;1;0;19;49;7;15;4;0
"Site_f01_s08";"F01";1;100;73;0;0;38;0;0;2;0;0;0;0;29;0;0;0;3;0;0;0;6;0;1;0;0;0;149;0;0;1;38;2;29;3;6;2
"Site_f01_s09";"F01";1;100;60;0;4;11;0;0;0;7;0;0;1;0;0;0;1;11;0;0;0;8;0;3;0;1;0;45;25;0;12;15;32;1;12;8;16
"Site_f01_s10";"F01";1;100;60;0;0;27;0;0;0;0;0;16;0;19;0;0;0;16;0;0;1;6;0;0;0;2;0;43;0;2;4;27;0;35;18;7;6
"Site_f02_s01";"F02";2;100;27;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;7;2;0;0;0;0;0;0;30;0;0;0;0;0;2;2;9;0
"Site_f02_s02";"F02";2;100;58;29;4;0;0;0;0;0;0;0;2;0;3;26;2;0;0;23;2;0;1;0;0;0;0;35;0;1;0;33;0;5;29;26;0
"Site_f02_s03";"F02";2;100;53;0;5;0;0;0;0;0;0;0;3;0;2;0;4;0;1;0;0;0;0;31;0;0;1;63;0;0;8;5;0;5;5;0;40
"Site_f02_s04";"F02";2;100;63;30;0;0;1;0;0;0;0;33;3;0;0;0;1;0;1;0;0;0;0;0;1;0;0;99;0;0;0;31;0;36;2;0;1
"Site_f02_s05";"F02";2;100;64;27;1;0;0;0;0;0;0;48;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;67;0;2;1;28;0;48;2;2;1
"Site_f02_s06";"F02";2;100;57;36;0;0;0;0;1;0;1;34;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;41;8;0;2;36;10;34;0;2;4
"Site_f02_s07";"F02";2;100;36;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;1;8;0;0;0;0;1
"Site_f02_s08";"F02";2;100;52;0;9;0;4;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;16;0;0;1;54;1;0;2;13;5;1;0;0;19
"Site_f02_s09";"F02";2;100;58;0;0;0;5;14;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;76;30;1;2;5;45;0;2;1;5
"Site_f02_s10";"F02";2;100;40;0;0;0;0;0;0;0;0;0;4;0;1;32;2;0;0;0;0;0;0;0;0;0;0;30;2;3;0;0;2;5;37;0;0
"Site_f03_s01";"F03";3;100;78;65;0;31;0;0;0;0;1;0;0;16;2;0;0;10;0;0;0;2;0;0;0;1;0;117;0;2;2;96;1;18;12;2;3
"Site_f03_s02";"F03";3;100;78;0;0;0;4;0;0;3;0;0;0;22;1;0;0;11;0;0;0;1;0;6;0;0;0;229;4;3;20;4;7;23;14;1;26
"Site_f03_s03";"F03";3;100;75;92;0;12;2;0;0;16;0;0;0;0;3;0;0;5;0;0;0;14;2;0;0;0;0;97;31;3;3;106;47;3;8;16;3
"Site_f03_s04";"F03";3;100;66;0;0;0;1;0;0;0;0;0;0;8;0;24;0;17;2;0;0;0;1;0;0;0;0;119;0;8;1;1;0;8;51;1;1
"Site_f03_s05";"F03";3;100;76;0;0;14;0;25;0;6;0;0;0;13;0;20;0;23;2;0;0;2;0;4;0;0;0;51;29;10;10;14;60;13;55;2;14
