"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;67;0;0;80;0;0;0;4;0;0;1;15;0;0;2;18;0;0;0;4;0;0;0;2;0;50;4;1;2;80;8;16;21;4;4
"Site_f01_s02";"F01";1;100;52;0;1;0;0;0;0;4;0;0;0;30;0;0;0;8;0;0;0;2;0;3;0;3;0;34;12;0;9;1;16;30;8;2;15
"Site_f01_s03";"F01";1;100;65;0;3;21;0;0;0;6;0;0;0;16;0;11;1;11;0;0;0;4;0;0;0;2;0;41;21;0;2;24;27;16;23;4;4
"Site_f01_s04";"F01";1;100;68;0;2;19;0;0;0;7;0;0;1;12;0;0;2;5;0;6;2;1;0;0;0;3;0;74;21;3;12;21;28;13;10;9;15
"Site_f01_s05";"F01";1;100;52;0;0;35;0;0;0;3;0;0;0;2;0;0;0;8;0;0;0;6;0;0;0;3;0;23;6;0;4;35;9;2;8;6;7
"Site_f01_s06";"F01";1;100;58;9;3;21;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;10;0;0;0;3;0;39;12;2;1;33;14;0;12;10;4
"Site_f01_s07";"F01";1;100;60;0;4;26;0;0;0;7;0;0;0;12;0;0;3;4;0;0;0;13;0;0;0;0;0;21;13;3;0;30;20;12;10;13;0
"Site_f01_s08";"F01";1;100;60;0;1;11;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;6;0;0;0;0;0;132;4;0;0;12;4;5;0;9;0
"Site_f01_s09";"F01";1;100;49;0;0;18;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;3;0;27;13;2;3;18;14;0;11;3;6
"Site_f01_s10";"F01";1;100;33;0;0;8;0;0;0;3;0;0;0;7;0;0;2;0;0;0;0;4;0;0;0;0;0;19;7;0;0;8;10;7;2;4;0
"Site_f02_s01";"F02";2;100;58;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;10;1;0;0;105;1;0;3;0;4;0;5;0;14
"Site_f02_s02";"F02";2;100;40;0;6;0;3;0;0;0;1;0;5;0;0;0;0;0;0;10;1;0;1;0;0;0;0;29;0;0;0;9;1;5;0;12;0
"Site_f02_s03";"F02";2;100;55;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;95;0;1;0;0;0;0;5;2;0
"Site_f02_s04";"F02";2;100;68;22;1;0;0;0;5;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;2;0;0;164;7;4;1;23;12;0;34;0;3
"Site_f02_s05";"F02";2;100;59;0;1;0;0;0;2;0;3;0;14;0;3;34;0;0;0;0;0;0;0;0;0;0;2;76;11;6;0;1;16;17;40;0;2
"Site_f02_s06";"F02";2;100;49;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;114;1;1;1;0;1;1;2;1;1
"Site_f02_s07";"F02";2;100;57;0;4;0;1;0;5;0;0;0;0;0;0;0;2;0;2;13;1;0;0;0;1;0;0;74;6;1;1;5;11;0;5;14;2
"Site_f02_s08";"F02";2;100;46;0;0;0;0;0;0;0;1;21;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;56;1;3;0;0;2;21;9;0;0
"Site_f02_s09";"F02";2;100;53;0;9;0;1;17;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;46;1;1;10;63;11;1;0;1
"Site_f02_s10";"F02";2;100;25;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;4;0;0;2;4;0;0;0;0
"Site_f03_s01";"F03";3;100;74;30;0;47;3;0;0;21;0;0;0;2;3;0;0;14;0;0;0;5;1;0;0;1;0;118;33;1;4;80;54;5;15;6;5
"Site_f03_s02";"F03";3;100;88;0;0;16;7;59;0;7;0;0;0;14;1;0;0;0;0;0;0;4;1;0;0;3;0;88;80;0;3;23;146;15;0;5;6
"Site_f03_s03";"F03";3;100;66;0;0;0;0;0;0;3;0;0;0;30;1;104;0;6;1;21;0;14;0;0;0;1;0;46;5;26;3;0;8;31;137;35;4
"Site_f03_s04";"F03";3;100;56;0;0;38;0;0;0;0;0;0;0;19;0;0;0;0;0;14;0;4;0;0;0;1;1;73;0;0;5;38;0;19;0;18;7
"Site_f03_s05";"F03";3;100;91;223;0;0;3;0;0;16;0;45;0;9;1;0;0;32;0;0;0;0;0;0;0;5;0;44;14;5;6;226;30;55;37;0;11
"Site_f03_s06";"F03";3;100;82;52;0;16;0;41;0;5;1;43;0;0;0;0;0;15;0;0;0;7;0;0;0;0;0;41;60;2;0;68;107;43;17;7;0
"Site_f03_s07";"F03";3;100;87;0;0;33;2;36;0;14;0;0;0;0;0;14;0;7;1;15;0;5;1;0;0;2;0;209;71;4;4;35;121;0;26;21;6
"Site_f03_s08";"F03";3;100;76;0;0;11;1;0;0;19;1;49;0;15;0;23;0;0;0;0;0;16;1;0;0;0;0;123;13;9;0;12;33;64;32;17;0
"Site_f03_s09";"F03";3;100;66;0;0;0;3;0;0;6;1;0;0;3;0;48;0;0;1;16;0;10;0;0;0;6;2;42;4;14;8;3;11;3;63;26;16
"Site_f03_s10";"F03";3;100;88;49;0;16;0;0;0;10;0;0;0;0;2;128;0;11;0;0;0;5;0;0;0;0;0;172;18;18;0;65;28;2;157;5;0
"Site_f04_s01";"F04";4;100;62;0;14;0;3;0;0;14;0;0;0;15;0;0;0;14;1;0;0;0;2;0;2;4;0;47;14;1;2;17;28;15;16;2;8
"Site_f04_s02";"F04";4;100;52;0;8;0;2;0;0;21;1;0;8;5;3;0;0;0;0;0;0;7;0;0;1;2;1;46;16;2;0;10;38;16;2;7;4
"Site_f04_s03";"F04";4;100;55;0;7;8;2;0;0;5;0;0;0;11;2;0;0;8;0;0;0;4;0;0;0;1;1;60;3;2;2;17;8;13;10;4;4
"Site_f04_s04";"F04";4;100;81;0;0;0;0;0;0;3;0;0;0;8;0;0;1;10;0;0;0;3;0;0;0;3;1;312;3;3;1;0;6;8;14;3;5
"Site_f04_s05";"F04";4;100;42;0;0;33;0;0;1;0;0;0;0;12;1;0;0;0;0;0;0;0;2;0;0;0;0;12;5;0;2;33;6;13;0;2;2
"Site_f04_s06";"F04";4;100;41;0;0;17;0;0;2;0;1;0;0;3;0;0;3;0;0;0;1;5;0;0;0;4;0;55;2;0;0;17;5;3;3;6;4
"Site_f04_s07";"F04";4;100;75;0;0;85;2;0;3;6;0;0;0;8;0;0;0;18;0;0;0;0;0;0;4;6;0;76;8;3;1;87;17;8;21;0;11
"Site_f04_s08";"F04";4;100;65;0;0;0;4;0;0;5;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;0;128;9;2;1;4;14;2;2;2;2
"Site_f04_s09";"F04";4;100;57;0;6;9;0;0;0;7;0;0;2;9;0;0;2;6;0;0;0;7;1;0;0;1;0;30;4;6;1;15;11;11;14;8;2
"Site_f04_s10";"F04";4;100;58;0;0;12;0;0;4;0;0;0;0;11;2;0;0;0;0;0;0;5;2;0;0;3;0;114;4;0;2;12;8;13;0;7;5
"Site_f05_s01";"F05";5;100;71;0;0;11;0;22;0;0;3;17;0;3;0;0;0;7;1;0;2;0;0;0;0;1;0;71;16;0;7;11;41;20;8;2;8
"Site_f05_s02";"F05";5;100;69;74;0;6;5;14;1;0;0;0;0;12;0;14;0;2;0;8;0;2;0;0;1;1;0;55;9;7;10;85;24;12;23;10;12
"Site_f05_s03";"F05";5;100;58;19;0;4;0;0;0;7;0;16;2;4;2;15;0;2;0;0;0;1;0;0;1;0;0;26;6;7;1;23;13;24;24;1;2
"Site_f05_s04";"F05";5;100;70;11;0;13;0;0;0;18;0;7;5;1;0;7;0;1;2;8;2;0;0;0;2;1;1;66;7;4;9;24;25;13;14;10;13
"Site_f05_s05";"F05";5;100;71;22;13;14;6;17;4;7;0;14;0;16;1;6;0;0;0;11;0;3;0;0;0;2;1;45;12;2;3;55;40;31;8;14;6
