"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;66;51;0;23;0;0;0;0;0;26;0;8;0;0;1;0;0;0;0;12;0;0;0;0;0;60;0;0;0;74;0;34;1;12;0
"Site_f01_s02";"F01";1;100;55;0;2;23;0;0;0;0;0;0;1;0;0;0;1;10;0;0;0;8;0;0;0;3;0;41;0;2;7;25;0;1;13;8;10
"Site_f01_s03";"F01";1;100;47;0;1;6;0;0;0;0;0;0;1;15;0;0;0;15;0;0;0;7;0;0;0;1;0;27;0;1;4;7;0;16;16;7;5
"Site_f01_s04";"F01";1;100;54;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;8;0;5;0;0;0;2;0;73;27;0;4;0;39;0;0;13;6
"Site_f01_s05";"F01";1;100;85;75;0;52;0;3;0;18;0;0;0;2;0;0;0;12;0;0;0;12;0;0;0;1;0;41;42;1;3;127;63;2;13;12;4
"Site_f01_s06";"F01";1;100;58;0;1;28;0;0;0;8;0;0;0;3;0;0;1;0;0;0;1;3;0;5;0;2;0;74;16;0;14;29;24;3;1;4;21
"Site_f01_s07";"F01";1;100;61;0;3;17;0;0;0;2;0;0;0;20;0;0;0;8;0;20;0;0;0;0;0;1;0;39;11;1;3;20;13;20;9;20;4
"Site_f01_s08";"F01";1;100;64;0;0;20;0;0;1;8;0;0;0;6;0;0;2;5;0;2;0;4;0;0;0;4;0;33;43;1;11;20;52;6;8;6;15
"Site_f01_s09";"F01";1;100;46;0;8;0;0;0;0;16;0;14;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;54;18;0;0;8;34;17;0;0;0
"Site_f01_s10";"F01";1;100;48;0;0;0;0;0;1;4;0;0;0;13;0;0;0;5;0;0;0;3;0;0;0;0;0;28;27;2;0;0;32;13;7;3;0
"Site_f02_s01";"F02";2;100;37;0;0;0;1;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;42;0;2;0;1;0;10;2;0;2
"Site_f02_s02";"F02";2;100;59;0;0;0;1;0;0;0;0;13;2;0;2;0;7;0;1;0;0;0;0;14;0;0;0;129;0;1;2;1;0;17;9;0;16
"Site_f02_s03";"F02";2;100;64;0;5;0;0;0;0;0;1;6;3;0;1;40;0;0;0;0;3;0;0;12;3;0;0;78;2;5;4;5;3;10;45;3;19
"Site_f02_s04";"F02";2;100;49;0;8;0;0;0;3;0;0;0;0;0;2;28;0;0;1;0;0;0;0;0;0;0;0;57;2;5;0;8;5;2;34;0;0
"Site_f02_s05";"F02";2;100;50;0;0;0;2;0;2;0;0;0;0;0;3;0;3;0;1;22;0;0;0;11;0;0;0;44;3;0;1;2;5;3;4;22;12
"Site_f02_s06";"F02";2;100;77;0;4;0;3;17;0;0;0;0;3;0;0;20;2;0;1;0;0;0;1;0;0;0;1;142;23;2;0;7;40;3;25;1;1
"Site_f02_s07";"F02";2;100;49;36;4;0;0;0;0;0;0;21;0;0;5;0;0;0;0;0;0;0;1;0;2;0;0;20;0;0;0;40;0;26;0;1;2
"Site_f02_s08";"F02";2;100;52;0;0;0;0;0;3;0;1;16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;63;3;0;0;0;7;16;1;0;0
"Site_f02_s09";"F02";2;100;36;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;23;4;0;2;0;4;0;0;20;1;0;1;0;4;1;0;29;5
"Site_f02_s10";"F02";2;100;45;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;49;0;0;0;1;0;2;0;9;0
"Site_f03_s01";"F03";3;100;72;43;0;0;0;0;0;9;0;0;0;11;1;0;0;14;0;60;0;9;0;7;0;0;0;42;6;2;18;43;15;12;16;69;25
"Site_f03_s02";"F03";3;100;64;0;0;18;2;0;0;11;1;38;0;14;1;0;0;0;6;0;0;0;0;0;0;2;0;25;20;0;3;20;32;53;6;0;5
