"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;79;41;2;17;0;0;1;0;0;21;1;16;0;0;0;9;0;0;0;9;0;0;0;3;0;177;2;0;8;60;3;38;9;9;11
"Site_f01_s02";"F01";1;100;43;0;1;0;0;0;0;0;0;0;5;4;0;0;0;10;0;0;0;7;0;0;0;0;0;25;5;1;2;1;5;9;11;7;2
"Site_f01_s03";"F01";1;100;65;0;0;43;0;0;0;8;0;0;0;23;0;0;1;6;0;0;0;0;0;0;0;0;0;48;20;1;0;43;28;23;8;0;0
"Site_f01_s04";"F01";1;100;62;0;0;26;0;0;0;5;0;0;0;0;0;0;0;7;0;0;1;10;0;0;0;5;0;37;11;0;9;26;16;0;7;11;14
"Site_f01_s05";"F01";1;100;57;0;0;44;0;0;0;9;0;0;0;5;0;0;0;2;0;0;0;3;0;0;0;0;0;43;10;1;0;44;19;5;3;3;0
"Site_f01_s06";"F01";1;100;75;0;0;14;0;0;0;13;0;14;0;18;0;0;2;23;0;0;1;4;0;6;0;1;0;21;36;4;9;14;49;32;29;5;16
"Site_f01_s07";"F01";1;100;55;0;0;12;0;0;0;3;0;0;0;14;0;0;1;3;0;0;0;0;0;0;0;1;0;67;16;0;7;12;19;14;4;0;8
"Site_f01_s08";"F01";1;100;33;0;0;5;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;2;0;18;1;1;4;5;1;0;7;1;6
"Site_f01_s09";"F01";1;100;67;0;0;23;0;0;0;6;0;0;2;27;0;0;2;5;0;0;0;8;0;0;0;3;0;61;13;1;21;23;19;29;8;8;24
"Site_f01_s10";"F01";1;100;56;0;0;25;0;0;0;14;0;0;4;0;0;0;0;9;0;0;0;8;0;0;0;1;0;22;30;0;7;25;44;4;9;8;8
"Site_f02_s01";"F02";2;100;62;104;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;65;1;0;0;107;2;1;0;2;1
"Site_f02_s02";"F02";2;100;66;0;15;0;0;14;0;0;0;0;1;0;2;0;0;0;0;11;1;0;0;0;0;0;0;81;26;0;0;15;40;3;0;12;0
"Site_f02_s03";"F02";2;100;59;32;5;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;19;0;0;0;43;0;0;8;38;0;1;1;1;27
"Site_f02_s04";"F02";2;100;66;0;7;0;2;43;1;0;2;8;0;0;0;0;0;0;0;0;1;0;0;5;4;0;0;51;69;0;0;9;115;8;0;1;9
"Site_f02_s05";"F02";2;100;58;0;0;0;4;0;2;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;1;183;4;0;0;4;8;0;8;0;1
"Site_f02_s06";"F02";2;100;33;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;2;37;0;0;1;2;0;3;0;1;3
"Site_f02_s07";"F02";2;100;43;0;9;0;3;8;0;0;0;0;2;0;4;0;0;0;1;0;0;0;0;0;1;0;0;21;8;0;0;12;16;6;1;0;1
"Site_f02_s08";"F02";2;100;69;54;6;0;0;0;0;0;1;0;4;0;1;0;0;0;1;0;0;0;0;0;1;0;0;101;0;0;1;60;1;5;1;0;2
"Site_f02_s09";"F02";2;100;35;0;4;0;2;0;0;0;1;0;5;0;1;0;1;0;0;0;0;0;1;0;0;0;0;41;1;1;0;6;2;6;2;1;0
"Site_f02_s10";"F02";2;100;51;0;8;0;0;0;0;0;0;40;0;0;1;0;4;0;0;0;0;0;0;15;0;0;0;63;0;0;2;8;0;41;4;0;17
"Site_f03_s01";"F03";3;100;90;146;0;18;0;79;0;0;0;42;0;2;0;0;0;31;0;0;0;3;1;0;0;2;0;224;108;6;3;164;187;44;37;4;5
"Site_f03_s02";"F03";3;100;60;0;0;12;0;0;0;5;2;0;0;4;1;0;0;5;0;0;0;4;0;7;0;3;0;70;5;0;9;12;12;5;5;4;19
"Site_f03_s03";"F03";3;100;55;0;0;0;1;0;0;16;0;0;0;14;0;0;0;2;2;20;0;6;1;0;0;1;0;34;13;2;0;1;29;14;6;27;1
"Site_f03_s04";"F03";3;100;80;0;0;10;0;0;0;7;0;80;0;3;1;0;0;4;0;21;0;0;0;0;0;0;0;156;17;4;4;10;24;84;8;21;4
"Site_f03_s05";"F03";3;100;68;49;0;15;0;0;0;0;2;0;0;0;4;0;0;10;0;0;0;8;1;0;0;3;0;61;2;1;10;64;4;4;11;9;13
"Site_f03_s06";"F03";3;100;80;122;0;0;0;0;0;17;0;0;0;11;0;0;0;4;0;24;0;0;0;6;0;0;0;122;17;1;8;122;34;11;5;24;14
"Site_f03_s07";"F03";3;100;69;0;0;28;2;0;0;4;0;0;0;0;1;0;0;14;1;13;0;6;0;7;0;7;0;48;9;4;34;30;13;1;19;19;48
"Site_f03_s08";"F03";3;100;86;160;0;15;0;0;0;6;2;0;0;15;0;0;0;9;0;21;0;9;0;4;0;2;0;82;9;3;18;175;17;15;12;30;24
"Site_f03_s09";"F03";3;100;84;76;0;66;0;34;0;3;1;0;0;13;0;0;0;0;0;0;0;7;1;0;0;4;1;59;55;0;11;142;93;13;0;8;16
"Site_f03_s10";"F03";3;100;66;0;0;0;2;0;0;15;1;56;0;17;0;23;0;7;1;0;0;8;1;0;0;0;0;35;17;9;0;2;33;73;40;9;0
"Site_f04_s01";"F04";4;100;44;0;4;10;2;0;3;2;0;0;2;8;0;0;5;9;0;0;4;1;0;0;4;0;0;9;6;3;1;16;11;10;17;5;5
