"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;61;0;1;32;0;0;0;7;0;13;0;15;0;0;0;7;0;7;0;8;0;0;0;0;0;34;20;2;0;33;27;28;9;15;0
"Site_f01_s02";"F01";1;100;63;0;4;13;0;0;0;11;0;0;7;17;0;0;6;0;0;0;0;3;0;1;0;2;0;26;33;0;10;17;44;24;6;3;13
"Site_f01_s03";"F01";1;100;59;0;0;41;0;0;0;0;0;0;2;0;0;9;0;8;0;0;0;12;0;0;0;3;0;38;0;3;8;41;0;2;20;12;11
"Site_f01_s04";"F01";1;100;61;0;0;10;0;0;1;8;0;0;2;21;0;0;1;22;0;0;1;8;0;0;0;1;0;32;27;4;2;10;36;23;27;9;3
"Site_f01_s05";"F01";1;100;78;0;0;0;0;17;4;23;0;0;0;5;0;0;0;41;0;0;0;0;0;0;0;1;0;88;73;2;5;0;117;5;43;0;6
"Site_f01_s06";"F01";1;100;64;0;0;0;0;0;0;10;0;0;1;0;0;0;0;7;0;0;0;3;0;0;0;0;0;102;21;0;1;0;31;1;7;3;1
"Site_f01_s07";"F01";1;100;71;36;1;13;0;4;0;7;0;12;0;0;0;0;0;4;0;0;1;5;0;0;0;2;0;39;39;1;2;50;50;12;5;6;4
"Site_f01_s08";"F01";1;100;57;0;0;0;0;0;0;4;0;0;0;9;0;0;0;4;0;0;0;2;0;0;0;0;0;87;10;1;12;0;14;9;5;2;12
"Site_f01_s09";"F01";1;100;67;32;1;7;0;0;0;6;0;0;1;10;0;0;0;0;0;0;0;4;0;0;0;1;0;92;9;0;4;40;15;11;0;4;5
"Site_f01_s10";"F01";1;100;40;0;5;0;0;0;0;4;0;0;0;0;0;8;0;15;0;0;0;3;0;0;0;2;0;24;12;1;4;5;16;0;24;3;6
"Site_f02_s01";"F02";2;100;55;0;0;0;2;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;108;0;0;0;2;1;1;4;0;1
"Site_f02_s02";"F02";2;100;51;0;0;0;1;0;0;0;1;0;1;0;0;26;0;0;0;12;0;0;0;0;0;0;0;51;0;3;1;1;1;1;29;12;1
"Site_f02_s03";"F02";2;100;58;0;0;0;1;0;0;0;1;0;1;0;1;27;0;0;0;0;0;0;0;0;0;0;0;146;0;5;0;1;1;2;32;0;0
"Site_f02_s04";"F02";2;100;79;112;0;0;0;0;14;0;0;0;1;0;0;28;0;0;1;0;0;0;1;0;0;0;1;100;16;6;0;112;30;1;35;1;1
"Site_f02_s05";"F02";2;100;70;75;0;0;6;0;6;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;113;2;1;0;81;8;0;3;1;0
"Site_f02_s06";"F02";2;100;49;0;8;0;5;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;81;0;0;0;13;0;6;1;0;0
"Site_f02_s07";"F02";2;100;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;1;0;0;0;1;0;0;0;0
"Site_f02_s08";"F02";2;100;61;0;9;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;3;1;0;13;6;0;1;0;0
"Site_f02_s09";"F02";2;100;62;0;7;0;1;5;0;0;0;0;3;0;0;12;0;0;0;0;0;0;0;0;0;0;1;68;18;6;0;8;23;3;18;0;1
"Site_f02_s10";"F02";2;100;47;0;0;0;0;10;0;0;2;0;0;0;1;20;0;0;1;10;0;0;0;0;0;0;0;48;24;4;0;0;36;1;25;10;0
"Site_f03_s01";"F03";3;100;62;31;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1;0;0;10;1;0;0;0;0;74;0;12;1;31;0;0;42;11;1
"Site_f03_s02";"F03";3;100;83;0;0;13;0;0;0;11;0;71;0;7;7;41;0;7;0;13;0;5;0;0;0;1;0;82;21;10;0;13;32;85;58;18;1
"Site_f03_s03";"F03";3;100;78;0;0;9;0;0;0;3;1;0;0;0;4;0;0;15;0;0;0;18;0;0;0;2;1;118;8;3;8;9;12;4;18;18;11
"Site_f03_s04";"F03";3;100;72;94;0;29;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0;61;0;0;2;123;0;6;0;6;2
"Site_f03_s05";"F03";3;100;76;57;0;38;2;0;0;0;0;0;0;6;0;23;0;32;1;0;0;8;0;0;0;2;0;21;0;14;4;97;0;6;70;8;6
"Site_f03_s06";"F03";3;100;86;66;0;0;1;0;0;0;0;26;0;2;1;76;0;15;0;11;0;1;0;0;0;0;0;78;1;21;1;67;1;29;112;12;1
"Site_f03_s07";"F03";3;100;59;97;0;2;3;0;0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;22;12;0;1;102;25;0;1;0;3
"Site_f03_s08";"F03";3;100;82;0;0;23;0;0;0;5;0;0;0;8;0;131;0;19;2;0;0;10;0;0;0;0;0;77;13;32;0;23;18;8;184;10;0
"Site_f03_s09";"F03";3;100;78;0;0;29;0;0;0;7;3;0;0;13;0;55;0;0;0;32;0;7;0;0;0;5;0;40;14;11;6;29;24;13;66;39;11
