"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;54;0;0;0;0;0;0;3;0;0;0;28;0;0;0;0;0;0;0;1;0;0;0;5;0;36;6;1;14;0;9;28;1;1;19
"Site_f01_s02";"F01";1;100;54;0;2;17;0;0;0;12;0;0;3;6;0;0;0;0;0;0;0;7;0;0;0;1;0;18;33;0;3;19;45;9;0;7;4
"Site_f01_s03";"F01";1;100;54;0;0;15;0;0;0;2;0;0;0;19;0;0;0;0;0;0;0;7;0;0;0;1;0;48;4;0;2;15;6;19;0;7;3
"Site_f01_s04";"F01";1;100;58;0;0;0;0;8;0;0;0;10;0;13;0;0;0;20;0;0;0;4;0;0;0;0;0;50;17;1;0;0;25;23;21;4;0
"Site_f01_s05";"F01";1;100;58;0;0;0;0;0;0;7;0;14;1;12;0;0;0;5;0;0;0;3;0;0;0;0;0;31;21;0;0;0;28;27;5;3;0
"Site_f01_s06";"F01";1;100;56;0;0;8;0;0;0;7;0;0;0;15;0;0;3;7;0;0;0;2;0;0;0;5;0;63;13;4;8;8;20;15;14;2;13
"Site_f01_s07";"F01";1;100;55;0;0;22;0;0;0;6;0;0;2;0;0;0;0;16;0;0;0;8;0;0;0;0;0;46;11;3;2;22;17;2;19;8;2
"Site_f01_s08";"F01";1;100;51;0;2;5;0;0;0;1;0;0;0;17;0;0;0;0;0;0;0;7;0;0;0;0;0;33;16;0;0;7;17;17;0;7;0
"Site_f01_s09";"F01";1;100;58;16;0;10;0;0;0;11;0;17;0;3;0;0;1;5;0;0;0;2;0;0;0;0;0;19;18;1;3;26;29;20;7;2;3
"Site_f01_s10";"F01";1;100;50;0;0;43;0;0;1;3;0;10;1;0;0;0;3;18;0;0;0;3;0;0;0;1;0;22;7;1;2;43;11;11;22;3;3
