"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;58;0;4;0;0;0;1;8;0;0;0;6;0;0;0;9;0;2;0;0;0;1;0;3;0;48;28;0;6;4;37;6;9;2;10
"Site_f01_s02";"F01";1;100;41;0;0;0;0;0;0;5;0;0;1;2;0;0;0;32;0;0;0;0;0;0;0;2;0;19;4;3;9;0;9;3;35;0;11
"Site_f01_s03";"F01";1;100;58;0;0;13;0;0;2;4;0;0;0;32;0;0;0;0;0;0;2;5;0;0;1;0;0;45;13;0;4;13;19;32;0;7;5
"Site_f01_s04";"F01";1;100;53;0;2;0;0;0;0;0;0;14;0;14;0;0;4;10;0;0;0;4;0;0;0;2;0;54;0;1;2;2;0;28;15;4;4
"Site_f01_s05";"F01";1;100;69;0;0;72;0;6;5;5;0;0;0;0;0;23;0;2;0;12;2;6;0;0;1;0;0;9;28;2;0;72;44;0;27;20;1
"Site_f01_s06";"F01";1;100;51;0;0;0;0;0;0;5;0;11;0;15;0;18;0;0;0;0;3;0;0;0;0;0;0;23;15;3;0;0;20;26;21;3;0
"Site_f01_s07";"F01";1;100;56;0;0;41;0;0;0;11;0;0;0;8;0;0;2;5;0;0;0;7;0;0;0;5;0;34;17;0;14;41;28;8;7;7;19
"Site_f01_s08";"F01";1;100;64;0;5;15;0;0;1;0;0;20;0;16;0;0;0;20;0;0;0;2;0;3;0;4;0;63;1;2;21;20;2;36;22;2;28
"Site_f01_s09";"F01";1;100;57;0;4;0;0;0;0;8;0;4;0;10;0;8;2;10;0;0;0;7;0;0;0;1;0;47;26;2;3;4;34;14;22;7;4
"Site_f01_s10";"F01";1;100;53;0;0;11;0;0;0;3;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;2;0;59;3;0;6;11;6;13;0;0;8
