"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;58;28;0;19;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;3;0;0;0;0;0;49;0;1;3;47;0;0;13;3;3
"Site_f01_s02";"F01";1;100;36;0;2;0;0;0;0;5;0;0;0;9;0;0;0;1;0;0;0;4;0;0;0;3;0;14;13;0;3;2;18;9;1;4;6
"Site_f01_s03";"F01";1;100;68;0;0;42;0;8;0;5;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;62;32;0;1;42;45;0;0;4;1
"Site_f01_s04";"F01";1;100;65;0;0;20;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;5;0;0;0;5;0;91;0;0;8;20;0;10;0;6;13
"Site_f01_s05";"F01";1;100;72;0;2;25;0;0;0;8;0;15;2;28;0;0;2;11;0;0;0;3;0;0;0;1;0;61;21;1;7;27;29;45;14;3;8
"Site_f01_s06";"F01";1;100;56;0;0;0;0;11;0;0;0;0;0;13;0;0;0;4;0;0;0;2;0;0;0;1;0;33;27;0;4;0;38;13;4;2;5
"Site_f01_s07";"F01";1;100;74;0;0;37;0;0;1;6;0;0;0;0;0;29;0;13;0;0;0;5;0;0;0;2;0;65;14;1;8;37;21;0;43;5;10
"Site_f01_s08";"F01";1;100;62;14;0;8;0;0;0;0;0;0;3;20;0;0;0;7;0;0;1;4;0;0;1;1;0;83;4;1;6;22;4;23;8;5;8
"Site_f01_s09";"F01";1;100;57;0;0;9;0;0;0;10;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;3;0;97;20;0;7;9;30;12;0;1;10
"Site_f01_s10";"F01";1;100;43;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;3;0;57;0;2;6;0;0;1;6;0;9
