"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;56;0;0;0;0;1;0;20;62;0;4;8;0;83
"Site_f01_s02";"F01";1;100;59;0;0;0;0;1;0;32;0;0;0;8;0;147
"Site_f01_s03";"F01";1;100;98;0;0;72;0;2;14;267;0;0;8;6;0;487
"Site_f01_s04";"F01";1;100;79;26;0;71;0;4;25;28;0;4;0;5;0;96
"Site_f01_s05";"F01";1;100;74;0;0;0;0;6;1;26;71;2;0;5;9;123
"Site_f01_s06";"F01";1;100;66;0;0;0;0;0;0;46;0;0;0;17;0;187
"Site_f01_s07";"F01";1;100;72;0;0;179;0;0;0;40;0;0;0;12;0;73
"Site_f01_s08";"F01";1;100;93;0;0;451;0;4;0;84;30;1;0;11;0;92
"Site_f01_s09";"F01";1;100;94;0;0;155;0;6;0;80;0;0;5;15;0;700
"Site_f01_s10";"F01";1;100;87;0;0;138;0;8;20;26;0;0;0;14;0;260
"Site_f02_s01";"F02";2;100;93;0;0;0;0;12;0;29;54;0;2;23;8;1084
"Site_f02_s02";"F02";2;100;89;25;65;49;0;0;14;27;0;0;0;20;0;192
"Site_f02_s03";"F02";2;100;80;0;0;41;0;5;17;39;0;1;0;11;0;168
"Site_f02_s04";"F02";2;100;69;0;0;0;0;6;0;36;0;1;0;0;10;178
"Site_f02_s05";"F02";2;100;73;11;0;0;0;7;24;40;30;0;0;7;10;59
"Site_f02_s06";"F02";2;100;94;0;45;136;0;0;28;50;29;0;0;0;0;285
"Site_f02_s07";"F02";2;100;88;6;0;130;0;4;0;37;62;3;0;14;0;196
"Site_f02_s08";"F02";2;100;84;10;0;59;0;6;0;31;51;3;6;14;0;153
"Site_f02_s09";"F02";2;100;91;28;44;207;90;0;0;54;0;0;3;0;0;115
"Site_f02_s10";"F02";2;100;89;7;0;268;0;4;0;24;0;0;0;18;0;96
"Site_f03_s01";"F03";3;100;68;0;0;0;0;22;11;10;44;3;4;2;5;69
"Site_f03_s02";"F03";3;100;77;0;0;0;0;0;0;55;0;5;0;20;6;272
"Site_f03_s03";"F03";3;100;87;0;30;115;0;2;30;21;0;0;6;0;10;392
"Site_f03_s04";"F03";3;100;80;0;0;331;47;0;0;56;0;0;2;8;0;65
"Site_f03_s05";"F03";3;100;87;0;0;46;0;0;9;31;0;1;0;5;4;264
"Site_f03_s06";"F03";3;100;80;0;0;147;0;0;0;42;0;0;0;5;7;156
"Site_f03_s07";"F03";3;100;69;0;0;0;0;8;0;16;14;6;4;0;5;137
"Site_f03_s08";"F03";3;100;77;0;0;92;76;10;21;40;0;0;0;4;0;81
"Site_f03_s09";"F03";3;100;72;0;0;95;0;7;7;11;43;0;0;2;7;39
"Site_f03_s10";"F03";3;100;85;37;0;146;0;8;13;33;50;0;0;10;0;69
"Site_f04_s01";"F04";4;100;77;68;0;97;50;20;0;10;54;0;6;2;8;39
"Site_f04_s02";"F04";4;100;91;0;68;249;62;21;27;26;43;2;4;0;0;148
"Site_f04_s03";"F04";4;100;61;0;0;0;0;0;7;0;26;3;0;0;0;141
"Site_f04_s04";"F04";4;100;84;0;0;48;43;7;15;44;0;2;0;6;4;170
"Site_f04_s05";"F04";4;100;81;52;19;72;0;24;0;74;47;0;0;2;0;138
"Site_f04_s06";"F04";4;100;90;8;0;77;117;7;11;27;0;1;2;11;0;205
"Site_f04_s07";"F04";4;100;92;0;0;190;0;9;32;70;75;0;0;0;0;249
"Site_f04_s08";"F04";4;100;82;108;15;0;33;8;0;30;36;0;0;6;0;59
"Site_f04_s09";"F04";4;100;89;0;0;0;152;20;0;0;11;0;1;3;0;424
"Site_f04_s10";"F04";4;100;73;0;0;140;0;9;17;23;0;6;0;0;5;77
"Site_f05_s01";"F05";5;100;75;46;88;0;0;7;0;7;0;0;1;0;0;115
"Site_f05_s02";"F05";5;100;56;0;0;63;0;14;0;0;8;4;3;1;3;68
"Site_f05_s03";"F05";5;100;87;54;0;0;0;15;42;43;0;0;2;8;0;118
"Site_f05_s04";"F05";5;100;66;0;0;105;0;5;12;6;0;7;7;0;0;66
"Site_f05_s05";"F05";5;100;88;0;36;87;0;18;0;20;19;0;5;3;3;209
"Site_f05_s06";"F05";5;100;79;0;56;0;0;16;20;10;15;1;2;7;1;245
"Site_f05_s07";"F05";5;100;55;0;0;0;0;0;43;6;0;0;1;0;3;98
"Site_f05_s08";"F05";5;100;77;0;0;0;47;24;0;15;0;0;0;3;0;204
"Site_f05_s09";"F05";5;100;79;0;0;61;0;22;5;34;0;0;5;2;0;280
"Site_f05_s10";"F05";5;100;94;0;0;266;85;21;0;17;12;2;5;2;0;163
"Site_f06_s01";"F06";6;100;75;0;0;21;92;0;40;19;15;0;0;10;0;134
"Site_f06_s02";"F06";6;100;81;94;0;0;57;12;15;40;10;4;4;1;2;136
"Site_f06_s03";"F06";6;100;88;89;33;0;53;24;0;20;19;2;0;3;8;486
"Site_f06_s04";"F06";6;100;64;0;0;0;0;24;27;42;8;4;5;5;7;72
"Site_f06_s05";"F06";6;100;78;0;0;0;0;0;12;0;24;5;0;5;3;326
"Site_f06_s06";"F06";6;100;82;0;0;0;17;26;49;17;5;0;0;2;0;222
"Site_f06_s07";"F06";6;100;78;0;57;0;0;18;7;0;4;0;7;0;0;170
"Site_f06_s08";"F06";6;100;92;64;0;162;66;12;22;37;15;0;9;15;5;147
"Site_f06_s09";"F06";6;100;71;0;0;0;0;63;20;22;0;2;7;0;7;178
"Site_f06_s10";"F06";6;100;86;84;45;0;0;0;5;0;11;6;3;0;5;214
"Site_f07_s01";"F07";7;100;96;0;101;0;71;85;27;10;9;12;6;0;1;294
"Site_f07_s02";"F07";7;100;91;71;74;0;112;44;11;0;10;4;1;10;0;115
"Site_f07_s03";"F07";7;100;85;166;0;0;0;23;17;0;26;1;1;1;3;107
"Site_f07_s04";"F07";7;100;82;0;0;0;61;16;30;19;4;0;6;0;0;187
"Site_f07_s05";"F07";7;100;84;0;89;0;0;19;49;11;23;0;7;0;4;98
