"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;88;23;0;47;36;4;9;23;0;0;4;5;0;71
"Site_f01_s02";"F01";1;100;90;0;0;55;43;5;0;28;0;5;0;15;0;67
"Site_f01_s03";"F01";1;100;72;0;0;0;0;6;3;29;21;2;0;11;2;53
"Site_f01_s04";"F01";1;100;84;0;0;49;0;5;20;28;0;2;0;19;0;72
"Site_f01_s05";"F01";1;100;93;38;0;63;0;10;0;0;43;1;5;10;0;62
"Site_f01_s06";"F01";1;100;94;0;0;61;0;1;15;39;39;0;0;8;0;65
"Site_f01_s07";"F01";1;100;81;0;0;0;0;4;12;22;44;1;0;13;0;67
"Site_f01_s08";"F01";1;100;91;44;0;53;0;8;24;66;32;1;0;6;5;61
"Site_f01_s09";"F01";1;100;92;21;0;67;0;1;16;46;23;3;0;13;0;60
"Site_f01_s10";"F01";1;100;97;5;0;75;0;10;0;7;0;1;0;5;0;88
"Site_f02_s01";"F02";2;100;88;32;16;49;0;7;0;19;38;3;9;0;2;59
"Site_f02_s02";"F02";2;100;94;0;0;70;42;9;0;28;0;3;0;5;0;52
"Site_f02_s03";"F02";2;100;88;18;0;78;0;20;0;21;0;0;0;2;0;48
"Site_f02_s04";"F02";2;100;76;26;0;0;0;2;10;30;0;0;0;6;12;58
"Site_f02_s05";"F02";2;100;88;17;0;57;0;4;0;29;33;1;0;10;0;75
"Site_f02_s06";"F02";2;100;88;9;0;38;0;9;0;44;35;4;8;11;14;68
"Site_f02_s07";"F02";2;100;88;0;42;0;58;0;21;15;0;0;0;0;0;64
"Site_f02_s08";"F02";2;100;68;0;0;0;0;5;11;12;0;2;0;8;0;56
"Site_f02_s09";"F02";2;100;86;0;41;0;0;0;8;46;37;3;0;8;0;59
"Site_f02_s10";"F02";2;100;90;0;25;42;51;5;0;17;0;0;0;18;4;56
"Site_f03_s01";"F03";3;100;82;28;0;0;0;1;0;41;0;0;0;4;2;60
"Site_f03_s02";"F03";3;100;87;13;34;0;50;8;17;9;0;4;5;7;6;54
"Site_f03_s03";"F03";3;100;95;0;44;45;51;7;5;16;30;0;0;0;6;83
"Site_f03_s04";"F03";3;100;84;18;0;54;0;0;0;20;22;0;4;9;0;40
"Site_f03_s05";"F03";3;100;87;0;0;54;0;15;0;28;33;0;0;9;0;73
"Site_f03_s06";"F03";3;100;88;19;0;40;0;7;28;25;29;0;0;8;0;70
"Site_f03_s07";"F03";3;100;87;0;0;24;0;8;9;34;0;0;0;6;0;76
"Site_f03_s08";"F03";3;100;67;0;0;0;0;2;5;14;0;1;1;8;0;57
"Site_f03_s09";"F03";3;100;82;0;23;49;0;0;15;0;0;2;4;0;0;63
"Site_f03_s10";"F03";3;100;86;0;0;54;0;0;30;25;0;0;0;0;0;70
"Site_f04_s01";"F04";4;100;89;26;0;0;53;22;0;50;14;0;0;3;4;59
"Site_f04_s02";"F04";4;100;72;0;0;0;0;9;0;0;24;2;8;8;0;57
"Site_f04_s03";"F04";4;100;77;0;0;0;36;6;15;6;23;2;0;0;5;61
"Site_f04_s04";"F04";4;100;86;0;33;28;64;14;12;17;18;0;0;1;2;49
"Site_f04_s05";"F04";4;100;72;0;0;23;0;7;0;16;0;0;0;11;0;60
"Site_f04_s06";"F04";4;100;91;16;0;39;0;2;13;19;35;0;2;15;3;79
"Site_f04_s07";"F04";4;100;93;45;0;72;0;3;0;0;45;0;0;8;3;81
"Site_f04_s08";"F04";4;100;84;40;0;29;0;12;19;23;16;2;0;5;0;50
"Site_f04_s09";"F04";4;100;85;0;0;0;0;0;0;15;24;0;0;16;0;77
"Site_f04_s10";"F04";4;100;81;42;0;54;0;8;14;31;7;1;0;0;4;26
"Site_f05_s01";"F05";5;100;80;51;0;38;0;18;0;5;6;2;2;2;0;40
"Site_f05_s02";"F05";5;100;79;0;0;31;31;0;0;7;0;0;0;7;0;52
"Site_f05_s03";"F05";5;100;85;49;46;0;19;13;0;15;0;0;0;10;2;51
"Site_f05_s04";"F05";5;100;88;45;0;41;0;8;17;3;16;1;10;6;4;74
"Site_f05_s05";"F05";5;100;88;22;22;55;0;11;16;19;21;4;7;4;2;53
"Site_f05_s06";"F05";5;100;74;44;0;0;0;6;14;22;16;0;0;0;8;35
"Site_f05_s07";"F05";5;100;77;36;0;0;0;12;22;16;24;5;0;5;6;42
"Site_f05_s08";"F05";5;100;67;0;0;17;0;14;15;0;17;4;4;4;4;38
"Site_f05_s09";"F05";5;100;84;0;0;51;0;9;15;14;23;3;0;7;0;32
"Site_f05_s10";"F05";5;100;90;31;0;0;0;19;17;32;24;1;2;4;0;82
"Site_f06_s01";"F06";6;100;77;0;0;0;0;21;11;0;20;0;1;0;3;61
"Site_f06_s02";"F06";6;100;92;0;0;0;55;19;9;9;7;2;2;3;0;75
"Site_f06_s03";"F06";6;100;72;0;0;0;0;35;0;17;0;3;0;0;0;53
"Site_f06_s04";"F06";6;100;81;0;0;0;29;8;0;11;14;0;0;0;2;75
"Site_f06_s05";"F06";6;100;86;0;45;0;36;0;0;7;0;8;0;3;0;66
"Site_f06_s06";"F06";6;100;88;0;0;15;15;21;5;10;18;9;0;0;3;73
"Site_f06_s07";"F06";6;100;88;27;31;0;22;22;11;13;45;2;0;6;0;58
"Site_f06_s08";"F06";6;100;85;0;27;0;0;11;14;23;12;0;5;0;0;74
"Site_f06_s09";"F06";6;100;81;0;0;0;30;13;0;39;12;0;8;0;0;58
"Site_f06_s10";"F06";6;100;77;0;24;0;0;38;0;0;15;0;0;0;6;56
"Site_f07_s01";"F07";7;100;89;52;43;0;7;15;18;11;14;8;0;0;0;52
"Site_f07_s02";"F07";7;100;86;0;33;0;0;36;16;2;16;0;3;0;3;67
"Site_f07_s03";"F07";7;100;60;0;0;0;0;0;15;26;12;0;1;0;3;32
"Site_f07_s04";"F07";7;100;67;0;0;0;25;33;6;15;10;0;0;0;4;35
"Site_f07_s05";"F07";7;100;96;69;50;0;26;0;26;14;4;4;6;0;0;66
"Site_f07_s06";"F07";7;100;93;63;15;0;0;29;16;18;21;5;3;3;2;79
"Site_f07_s07";"F07";7;100;78;24;0;0;0;14;38;12;9;6;3;0;1;54
"Site_f07_s08";"F07";7;100;73;0;27;0;0;0;17;15;9;10;6;8;0;42
"Site_f07_s09";"F07";7;100;89;0;53;0;52;23;8;7;2;0;0;0;3;72
"Site_f07_s10";"F07";7;100;78;0;39;19;0;41;0;25;0;0;7;0;4;25
"Site_f08_s01";"F08";8;100;75;0;0;0;29;0;7;19;5;5;0;1;0;66
"Site_f08_s02";"F08";8;100;91;56;28;0;0;0;12;0;3;0;0;0;2;72
"Site_f08_s03";"F08";8;100;91;49;38;22;16;15;0;0;13;0;5;2;7;65
"Site_f08_s04";"F08";8;100;84;0;23;0;0;10;23;0;13;8;4;8;1;78
"Site_f08_s05";"F08";8;100;83;38;16;0;33;0;15;11;9;1;2;2;2;61
"Site_f08_s06";"F08";8;100;81;0;23;0;0;0;6;11;16;0;8;0;1;71
"Site_f08_s07";"F08";8;100;83;52;0;25;56;17;25;6;6;0;3;0;3;47
"Site_f08_s08";"F08";8;100;83;0;30;0;38;21;38;4;9;2;0;0;6;51
"Site_f08_s09";"F08";8;100;72;0;38;0;0;21;11;7;3;5;0;0;0;35
"Site_f08_s10";"F08";8;100;79;0;8;0;12;17;0;14;7;21;9;2;0;68
"Site_f09_s01";"F09";9;100;80;0;0;19;0;17;13;2;7;0;7;0;0;69
"Site_f09_s02";"F09";9;100;73;28;0;0;5;15;11;0;4;5;6;0;1;57
"Site_f09_s03";"F09";9;100;85;46;26;0;8;25;16;5;17;0;5;0;1;74
"Site_f09_s04";"F09";9;100;80;0;24;0;34;35;0;0;5;10;0;2;0;50
"Site_f09_s05";"F09";9;100;81;0;53;0;23;26;12;8;6;0;10;0;1;51
"Site_f09_s06";"F09";9;100;66;0;0;0;11;23;9;7;0;0;7;1;0;50
"Site_f09_s07";"F09";9;100;81;0;0;0;0;34;4;5;12;9;5;0;1;69
"Site_f09_s08";"F09";9;100;73;0;0;0;15;57;10;0;15;7;6;0;0;45
"Site_f09_s09";"F09";9;100;89;55;29;0;16;25;21;0;7;6;0;0;4;50
"Site_f09_s10";"F09";9;100;82;0;0;0;0;0;19;8;6;7;3;0;1;74
"Site_f10_s01";"F10";10;100;90;0;39;15;0;45;9;8;8;0;0;0;1;75
"Site_f10_s02";"F10";10;100;79;0;31;0;4;34;0;0;11;0;7;0;4;55
"Site_f10_s03";"F10";10;100;89;39;44;11;16;32;0;0;1;0;5;0;3;47
"Site_f10_s04";"F10";10;100;89;46;31;0;20;38;23;0;6;0;3;0;7;60
"Site_f10_s05";"F10";10;100;88;49;28;0;12;0;15;0;3;20;3;1;4;74
"Site_f10_s06";"F10";10;100;80;0;37;3;7;24;5;6;11;0;1;0;1;65
"Site_f10_s07";"F10";10;100;92;61;0;0;15;37;29;0;9;11;3;0;0;65
"Site_f10_s08";"F10";10;100;79;0;22;0;7;29;38;0;14;6;1;2;1;60
"Site_f10_s09";"F10";10;100;86;0;55;0;23;37;6;6;8;4;1;0;5;59
"Site_f10_s10";"F10";10;100;88;53;15;0;0;62;14;10;5;0;2;0;0;40
