"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;86;0;0;129;0;15;32;47;61;2;5;14;0;126
"Site_f01_s02";"F01";1;100;96;0;0;373;0;5;9;90;0;3;0;18;8;738
"Site_f01_s03";"F01";1;100;94;0;0;147;253;0;49;55;0;0;0;15;0;283
"Site_f01_s04";"F01";1;100;94;0;0;252;0;0;8;51;27;1;0;13;0;338
"Site_f01_s05";"F01";1;100;85;0;53;154;0;8;0;62;73;0;0;23;0;56
"Site_f01_s06";"F01";1;100;83;16;0;120;0;10;14;35;0;0;0;31;0;188
"Site_f01_s07";"F01";1;100;81;0;0;148;0;0;22;20;57;3;4;0;2;202
"Site_f01_s08";"F01";1;100;93;13;0;200;0;9;0;38;101;0;0;11;0;297
"Site_f01_s09";"F01";1;100;76;0;0;0;0;6;32;78;47;0;2;1;0;152
"Site_f01_s10";"F01";1;100;87;0;0;261;0;0;0;0;0;3;0;7;0;193
"Site_f02_s01";"F02";2;100;92;0;111;78;0;9;0;32;45;0;0;17;0;208
"Site_f02_s02";"F02";2;100;89;29;0;82;0;4;44;53;52;2;0;12;0;211
"Site_f02_s03";"F02";2;100;64;0;0;0;0;7;0;42;0;0;3;0;0;131
"Site_f02_s04";"F02";2;100;79;0;0;87;0;8;0;26;40;1;0;8;0;173
"Site_f02_s05";"F02";2;100;94;152;0;130;268;8;0;0;53;5;0;3;5;350
"Site_f02_s06";"F02";2;100;81;0;0;0;0;7;46;37;0;1;1;8;0;145
"Site_f02_s07";"F02";2;100;82;0;0;56;0;13;0;28;68;0;0;6;0;228
"Site_f02_s08";"F02";2;100;96;0;0;60;144;5;40;43;65;0;0;18;0;307
"Site_f02_s09";"F02";2;100;71;36;0;0;0;0;37;0;17;0;0;10;0;106
