"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;93;37;0;64;0;3;0;38;72;1;0;7;8;312
"Site_f01_s02";"F01";1;100;83;0;0;84;0;1;7;39;61;0;0;9;7;115
"Site_f01_s03";"F01";1;100;94;35;0;663;0;0;13;14;0;2;0;5;0;273
"Site_f01_s04";"F01";1;100;87;15;0;45;0;1;0;57;35;0;8;3;19;137
"Site_f01_s05";"F01";1;100;95;0;0;257;0;11;33;0;52;0;0;5;8;892
"Site_f01_s06";"F01";1;100;83;10;0;120;0;9;0;39;0;8;0;14;0;121
"Site_f01_s07";"F01";1;100;67;14;0;0;0;0;0;24;0;0;0;2;5;145
"Site_f01_s08";"F01";1;100;87;0;0;260;81;5;19;0;0;2;0;5;0;81
"Site_f01_s09";"F01";1;100;73;22;0;0;0;4;21;24;45;1;0;3;6;92
"Site_f01_s10";"F01";1;100;84;0;0;98;0;6;0;42;61;2;16;11;0;269
"Site_f02_s01";"F02";2;100;83;0;0;0;0;7;0;24;80;0;0;6;0;285
"Site_f02_s02";"F02";2;100;88;9;0;0;88;11;0;69;48;2;6;0;0;160
"Site_f02_s03";"F02";2;100;84;0;0;89;0;0;0;9;21;4;0;8;0;265
"Site_f02_s04";"F02";2;100;58;0;0;0;0;56;0;8;0;0;6;0;0;157
"Site_f02_s05";"F02";2;100;90;0;34;224;0;0;21;35;14;1;0;27;8;332
"Site_f02_s06";"F02";2;100;90;0;0;415;0;30;0;50;0;0;0;15;0;66
"Site_f02_s07";"F02";2;100;91;0;0;119;0;7;41;42;38;2;2;5;0;405
"Site_f02_s08";"F02";2;100;87;0;0;123;0;13;26;40;41;0;0;3;0;133
"Site_f02_s09";"F02";2;100;75;0;0;0;0;0;1;49;0;1;17;7;21;228
"Site_f02_s10";"F02";2;100;89;16;0;91;0;4;29;27;30;0;0;3;0;567
"Site_f03_s01";"F03";3;100;92;0;0;0;229;14;12;39;73;16;4;29;0;235
"Site_f03_s02";"F03";3;100;89;0;0;292;0;0;56;55;12;5;2;0;0;55
"Site_f03_s03";"F03";3;100;92;27;48;81;0;8;21;18;14;0;11;21;0;473
"Site_f03_s04";"F03";3;100;82;0;0;51;91;1;34;20;0;4;0;0;10;108
"Site_f03_s05";"F03";3;100;88;35;135;87;52;0;21;87;25;1;4;0;0;53
"Site_f03_s06";"F03";3;100;88;19;0;128;0;3;19;24;106;5;0;0;5;58
"Site_f03_s07";"F03";3;100;78;21;0;57;0;8;5;23;32;4;5;16;0;48
"Site_f03_s08";"F03";3;100;86;0;0;0;0;3;11;27;0;1;2;0;0;401
"Site_f03_s09";"F03";3;100;78;0;60;66;0;9;4;18;19;0;3;9;0;154
"Site_f03_s10";"F03";3;100;77;0;0;0;0;12;0;42;78;6;0;1;0;171
"Site_f04_s01";"F04";4;100;85;0;0;0;79;11;88;27;0;1;5;2;2;74
"Site_f04_s02";"F04";4;100;81;0;43;57;0;19;0;38;16;2;5;2;0;153
"Site_f04_s03";"F04";4;100;89;0;72;77;88;24;16;11;9;0;0;1;0;69
"Site_f04_s04";"F04";4;100;89;0;0;84;105;23;43;11;0;0;0;7;0;158
"Site_f04_s05";"F04";4;100;89;0;129;0;97;0;0;26;31;8;0;19;12;161
"Site_f04_s06";"F04";4;100;89;74;42;56;0;0;6;32;11;3;17;0;5;206
"Site_f04_s07";"F04";4;100;78;0;0;0;0;25;26;20;0;0;4;1;0;209
"Site_f04_s08";"F04";4;100;72;46;0;0;0;0;0;0;0;0;7;1;0;134
"Site_f04_s09";"F04";4;100;91;0;67;0;0;7;0;0;17;1;2;1;6;497
