"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;85;0;0;61;0;5;0;28;29;0;0;5;0;63
"Site_f01_s02";"F01";1;100;85;0;0;73;45;11;12;19;13;0;0;14;8;36
"Site_f01_s03";"F01";1;100;74;4;0;57;0;7;0;35;0;1;0;3;0;37
"Site_f01_s04";"F01";1;100;94;0;0;74;0;3;0;43;28;2;0;12;0;77
"Site_f01_s05";"F01";1;100;86;24;0;54;0;2;13;46;0;2;4;24;0;60
"Site_f01_s06";"F01";1;100;88;21;0;44;0;8;0;34;25;2;2;7;0;77
"Site_f01_s07";"F01";1;100;69;23;0;0;0;5;0;18;0;1;0;8;0;54
"Site_f01_s08";"F01";1;100;76;0;0;46;0;7;11;21;0;0;1;5;0;47
"Site_f01_s09";"F01";1;100;87;0;0;43;0;12;0;39;24;1;0;0;0;58
"Site_f01_s10";"F01";1;100;75;8;0;0;0;4;0;23;32;0;0;19;0;49
"Site_f02_s01";"F02";2;100;82;0;0;38;0;26;0;24;27;1;0;5;0;70
"Site_f02_s02";"F02";2;100;77;0;0;27;0;4;0;0;49;0;0;3;0;54
"Site_f02_s03";"F02";2;100;79;0;0;0;0;8;0;26;23;3;0;5;0;64
"Site_f02_s04";"F02";2;100;86;33;0;44;0;4;18;23;14;0;0;0;0;65
"Site_f02_s05";"F02";2;100;94;0;0;68;53;5;7;14;27;0;5;9;0;75
"Site_f02_s06";"F02";2;100;95;14;0;57;75;13;0;39;23;2;0;6;0;75
"Site_f02_s07";"F02";2;100;88;12;0;56;0;4;18;29;40;2;0;16;0;66
"Site_f02_s08";"F02";2;100;86;0;0;64;0;12;0;27;42;0;0;6;0;45
"Site_f02_s09";"F02";2;100;76;0;0;25;0;0;14;0;46;2;2;9;0;39
"Site_f02_s10";"F02";2;100;71;0;0;0;0;5;0;16;40;0;2;7;6;45
"Site_f03_s01";"F03";3;100;90;15;0;50;57;9;27;0;33;0;0;10;0;68
"Site_f03_s02";"F03";3;100;82;0;0;46;0;6;0;0;11;0;5;10;0;65
"Site_f03_s03";"F03";3;100;91;0;48;70;0;7;5;31;9;2;0;7;20;67
"Site_f03_s04";"F03";3;100;83;0;0;28;49;9;0;7;34;0;0;9;0;62
"Site_f03_s05";"F03";3;100;84;0;0;57;0;15;14;38;0;0;0;5;0;59
"Site_f03_s06";"F03";3;100;78;0;0;32;0;10;0;26;0;0;7;6;9;48
"Site_f03_s07";"F03";3;100;78;0;0;0;0;10;20;10;22;3;1;4;10;64
"Site_f03_s08";"F03";3;100;96;0;0;71;0;2;4;26;33;4;5;6;5;78
"Site_f03_s09";"F03";3;100;78;25;0;0;0;17;0;0;34;0;3;5;0;58
"Site_f03_s10";"F03";3;100;89;0;33;31;0;5;20;15;34;0;0;0;0;68
"Site_f04_s01";"F04";4;100;74;0;0;33;0;0;16;34;12;0;0;4;0;40
"Site_f04_s02";"F04";4;100;84;24;0;0;0;19;16;0;0;0;7;0;3;71
"Site_f04_s03";"F04";4;100;90;0;0;43;0;5;15;21;0;0;0;0;0;82
"Site_f04_s04";"F04";4;100;98;21;0;34;51;3;0;21;44;0;0;2;0;73
"Site_f04_s05";"F04";4;100;96;28;0;51;0;9;20;15;16;1;6;0;3;85
"Site_f04_s06";"F04";4;100;92;0;0;28;0;10;0;49;21;2;0;7;0;78
"Site_f04_s07";"F04";4;100;92;0;26;42;0;12;33;21;0;0;0;5;12;56
"Site_f04_s08";"F04";4;100;80;0;0;53;0;8;1;24;24;2;0;7;0;52
"Site_f04_s09";"F04";4;100;69;0;0;0;20;11;0;22;28;14;0;0;0;31
"Site_f04_s10";"F04";4;100;73;0;0;0;0;4;23;33;12;0;0;12;0;54
"Site_f05_s01";"F05";5;100;73;0;0;0;0;6;7;12;13;1;0;0;15;61
"Site_f05_s02";"F05";5;100;86;0;37;0;0;18;0;6;46;0;1;0;3;55
"Site_f05_s03";"F05";5;100;94;22;48;37;27;21;25;39;11;7;0;0;0;76
"Site_f05_s04";"F05";5;100;83;40;0;0;15;24;0;0;12;0;3;5;3;60
"Site_f05_s05";"F05";5;100;73;0;0;0;0;16;16;43;6;0;0;0;0;51
"Site_f05_s06";"F05";5;100;85;29;33;0;0;27;0;7;13;2;7;0;8;63
"Site_f05_s07";"F05";5;100;77;0;0;0;0;17;0;10;11;7;0;12;0;61
"Site_f05_s08";"F05";5;100;88;28;21;0;0;11;7;11;40;0;0;5;0;72
"Site_f05_s09";"F05";5;100;90;50;18;0;28;5;4;22;7;0;4;0;0;63
"Site_f05_s10";"F05";5;100;68;0;0;0;0;8;0;10;14;6;6;0;1;60
"Site_f06_s01";"F06";6;100;92;0;31;0;23;22;7;26;9;2;3;0;0;78
"Site_f06_s02";"F06";6;100;88;0;20;54;0;0;13;18;20;0;7;1;1;75
"Site_f06_s03";"F06";6;100;88;22;22;46;0;31;9;25;22;0;0;3;0;45
"Site_f06_s04";"F06";6;100;82;0;28;0;0;17;23;12;10;0;3;0;0;67
"Site_f06_s05";"F06";6;100;86;26;0;0;0;3;25;17;36;2;3;4;6;72
